,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update
0,2024-11-05 13:57:33.481434,0,0,0.0,0,0.0,0.0,0.0
1,2024-11-05 19:35:31.543892,105319,65983,61.0,39336,36.0,8.75,105319.0
2,2024-11-05 19:38:46.041744,113417,67274,58.0,46143,39.0,9.41,8098.0
3,2024-11-05 19:39:34.959745,160160,79601,48.0,80559,49.0,13.29,46743.0
4,2024-11-05 19:48:40.015814,165165,81726,48.0,83439,49.0,13.71,5005.0
5,2024-11-05 19:50:26.318877,165235,81758,48.0,83477,49.0,13.71,70.0
6,2024-11-05 19:51:24.686330,169158,82994,48.0,86164,49.0,14.04,3923.0
7,2024-11-05 19:52:17.531532,174599,83989,47.0,90610,50.0,14.49,5441.0
8,2024-11-05 19:53:41.978154,196240,89073,44.0,107167,53.0,16.27,21641.0
9,2024-11-05 19:55:45.764229,206106,91129,43.0,114977,54.0,17.09,9866.0
10,2024-11-05 19:58:57.741101,213337,92777,42.0,120560,55.0,17.69,7231.0
11,2024-11-05 19:59:23.390924,218821,93625,41.0,125196,56.0,18.14,5484.0
12,2024-11-05 20:04:15.951993,231539,99676,42.0,131863,55.0,19.19,12718.0
13,2024-11-05 20:04:38.431344,235085,100674,42.0,134411,56.0,19.49,3546.0
14,2024-11-05 20:04:54.560828,238138,102564,42.0,135574,55.0,19.74,3053.0
15,2024-11-05 20:05:54.934815,245134,104287,41.0,140847,56.0,20.32,6996.0
16,2024-11-05 20:06:13.491149,257595,106544,40.0,151051,57.0,21.35,12461.0
17,2024-11-05 20:07:04.495033,257997,106716,40.0,151281,57.0,21.38,402.0
18,2024-11-05 20:11:14.295967,258054,106719,40.0,151335,57.0,21.39,57.0
19,2024-11-05 20:11:38.999415,268828,108838,39.0,159990,58.0,22.28,10774.0
20,2024-11-05 20:14:03.789644,270441,109145,39.0,161296,58.0,22.42,1613.0
21,2024-11-05 20:15:14.741937,271170,109402,39.0,161768,58.0,22.48,729.0
22,2024-11-05 20:15:41.581796,271253,109425,39.0,161828,58.0,22.48,83.0
23,2024-11-05 20:16:11.430597,276086,110683,39.0,165403,58.0,22.88,4833.0
24,2024-11-05 20:19:11.059684,281262,112266,39.0,168996,58.0,23.31,5176.0
25,2024-11-05 20:19:34.651066,285139,113390,39.0,171749,59.0,23.64,3877.0
26,2024-11-05 20:20:50.078340,285211,113418,39.0,171793,59.0,23.64,72.0
27,2024-11-05 20:21:48.801889,286406,113597,38.0,172809,59.0,23.74,1195.0
28,2024-11-05 20:23:31.644995,306576,118549,37.0,188027,60.0,25.42,20170.0
29,2024-11-05 20:24:12.910344,318935,126893,39.0,192042,59.0,26.44,12359.0
30,2024-11-05 20:26:03.531494,320045,127397,39.0,192648,59.0,26.53,1110.0
31,2024-11-05 20:26:31.449541,325453,128375,38.0,197078,59.0,26.98,5408.0
32,2024-11-05 20:26:56.421318,328929,129228,38.0,199701,59.0,27.27,3476.0
33,2024-11-05 20:27:40.156684,329563,129312,38.0,200251,59.0,27.32,634.0
34,2024-11-05 20:29:08.384758,330350,129434,38.0,200916,59.0,27.39,787.0
35,2024-11-05 20:30:03.396451,332006,129961,38.0,202045,59.0,27.55,1656.0
36,2024-11-05 20:31:06.507418,334735,130313,38.0,204422,59.0,27.77,2729.0
37,2024-11-05 20:31:29.869970,401990,162346,39.0,239644,58.0,33.4,67255.0
38,2024-11-05 20:32:18.288034,408587,163945,39.0,244642,58.0,33.95,6597.0
39,2024-11-05 20:32:44.746666,412892,164505,39.0,248387,58.0,34.3,4305.0
40,2024-11-05 20:33:08.643788,413325,164576,39.0,248749,58.0,34.34,433.0
41,2024-11-05 20:59:43.218810,683414,247905,35.0,435509,62.0,56.76,270089.0
42,2024-11-05 21:02:11.108795,686856,249693,35.0,437163,62.0,57.03,3442.0
43,2024-11-05 21:06:59.849565,688868,250271,35.0,438597,62.0,57.21,2012.0
44,2024-11-05 21:07:28.700174,689879,250541,35.0,439338,62.0,57.47,1011.0
45,2024-11-05 21:07:46.408992,692036,251229,35.0,440807,62.0,57.47,2157.0
46,2024-11-05 21:08:25.596034,693420,251398,35.0,442022,62.0,57.58,1384.0
47,2024-11-05 21:08:42.611845,697768,251991,35.0,445777,62.0,57.94,4348.0
48,2024-11-05 21:09:12.725190,701080,252802,35.0,448278,62.0,58.22,3312.0
49,2024-11-05 21:10:46.884939,706141,253986,35.0,452155,62.0,58.64,5061.0
50,2024-11-05 21:11:07.225884,707862,254248,35.0,453614,62.0,58.79,1721.0
51,2024-11-05 21:14:00.930329,708814,254690,35.0,454124,62.0,58.86,952.0
52,2024-11-05 21:14:23.104368,708884,254696,35.0,454188,62.0,58.9,70.0
53,2024-11-05 21:15:29.589049,722928,259603,35.0,463325,62.0,60.08,14044.0
54,2024-11-05 21:15:48.639148,726194,260179,35.0,466015,62.0,60.35,3266.0
55,2024-11-05 21:16:15.870597,726642,260229,35.0,466413,62.0,60.39,448.0
56,2024-11-05 21:23:01.910582,748733,268741,35.0,479992,62.0,62.24,22091.0
57,2024-11-05 21:23:19.745232,751079,269228,35.0,481851,62.0,62.44,2346.0
58,2024-11-05 21:25:11.293925,751210,269502,35.0,481708,62.0,62.45,131.0
59,2024-11-05 21:31:34.395809,807190,287757,34.0,519433,63.0,67.41,55980.0
60,2024-11-05 21:34:16.872461,851658,298197,34.0,553461,63.0,71.11,44468.0
61,2024-11-05 21:35:46.855016,857522,299276,34.0,558246,63.0,71.6,5864.0
62,2024-11-05 21:36:16.616115,860221,300014,34.0,560207,63.0,71.83,2699.0
63,2024-11-05 21:36:40.256663,862610,300525,34.0,562085,63.0,72.03,2389.0
64,2024-11-05 21:38:02.941443,862614,300525,34.0,562089,63.0,72.03,4.0
65,2024-11-05 21:38:49.735333,864487,300859,34.0,563628,63.0,72.18,1873.0
66,2024-11-05 21:40:11.533309,864563,300861,34.0,563702,63.0,72.19,76.0
67,2024-11-05 21:42:41.128352,865136,300959,34.0,564177,63.0,72.25,573.0
68,2024-11-05 21:44:11.732314,880680,303892,33.0,576788,64.0,73.54,15544.0
69,2024-11-05 21:44:29.323506,884254,305538,33.0,578716,64.0,73.84,3574.0
70,2024-11-05 21:48:02.898043,886533,306335,33.0,580198,64.0,74.1,2279.0
71,2024-11-05 21:48:26.530238,891346,307411,33.0,583935,64.0,74.5,4813.0
72,2024-11-05 21:49:13.567151,891446,307421,33.0,584025,64.0,74.51,100.0
