,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update
0,2024-11-05 13:57:33.481434,0,0,0.0,0,0.0,0.0,0.0
1,2024-11-05 19:30:06.058437,99625,70825,70.0,28800,28.0,18.13,99625.0
2,2024-11-05 19:31:08.975776,236682,135944,56.0,100738,42.0,43.09,137057.0
3,2024-11-05 19:44:48.639657,242946,139844,57.0,103102,42.0,44.24,6264.0
4,2024-11-05 19:46:16.093187,244781,140839,56.0,103942,42.0,44.58,1835.0
5,2024-11-05 19:59:48.333117,260037,150149,57.0,109888,41.0,47.38,15256.0
6,2024-11-05 20:00:48.151409,270242,154931,56.0,115311,42.0,49.26,10205.0
7,2024-11-05 20:04:54.560828,279070,158839,56.0,120231,42.0,50.88,8828.0
8,2024-11-05 20:05:54.934815,298838,171467,56.0,127371,42.0,54.52,19768.0
9,2024-11-05 20:15:14.741937,317041,182481,56.0,134560,41.0,57.87,18203.0
10,2024-11-05 20:15:41.581796,321620,184671,56.0,136949,42.0,58.72,4579.0
11,2024-11-05 20:20:22.523464,343827,198239,56.0,145588,41.0,62.8,22207.0
12,2024-11-05 20:26:31.449541,348016,199938,56.0,148078,42.0,63.57,4189.0
13,2024-11-05 20:59:43.218810,462676,265997,56.0,196679,41.0,85.74,114660.0
14,2024-11-05 21:02:11.108795,463576,266514,56.0,197062,41.0,85.91,900.0
15,2024-11-05 21:04:42.023415,473084,272048,56.0,201036,41.0,87.68,9508.0
16,2024-11-05 21:10:46.884939,479850,275690,56.0,204160,41.0,88.53,6766.0
17,2024-11-05 21:11:07.225884,480177,275929,56.0,204248,41.0,88.59,327.0
18,2024-11-05 21:17:24.519679,485822,278698,56.0,207124,42.0,89.64,5645.0
19,2024-11-05 21:23:01.910582,492017,281971,56.0,210046,42.0,90.78,6195.0
20,2024-11-05 21:31:34.395809,496547,284631,56.0,211916,42.0,91.62,4530.0
21,2024-11-05 21:43:34.109074,497914,285368,56.0,212546,42.0,90.21,1367.0
22,2024-11-06 13:13:28.450003,503769,289585,56.0,214184,41.0,99.0,5855.0
