,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update
0,2024-11-05 13:57:33.481434,0,0,0.0,0,0.0,0.0,0.0
1,2024-11-05 20:59:43.218810,38397,35449,91.0,2948,7.0,11.01,38397.0
2,2024-11-05 21:03:27.251477,75384,70466,92.0,4918,6.0,21.65,36987.0
3,2024-11-05 21:05:07.872167,146912,136775,92.0,10137,6.0,42.16,71528.0
4,2024-11-05 21:06:59.849565,178803,166926,92.0,11877,6.0,51.3,31891.0
5,2024-11-05 21:15:29.589049,204106,190289,92.0,13817,6.0,58.55,25303.0
6,2024-11-05 21:15:48.639148,259107,241929,92.0,17178,6.0,74.39,55001.0
7,2024-11-05 21:36:40.256663,260764,243572,92.0,17192,6.0,74.82,1657.0
8,2024-11-05 21:56:12.469512,261638,244365,92.0,17273,6.0,75.07,874.0
9,2024-11-05 21:56:30.782573,261929,244531,92.0,17398,6.0,75.2,291.0
10,2024-11-05 21:58:22.131342,262856,245373,92.0,17483,6.0,75.47,927.0
11,2024-11-05 21:58:48.872132,264027,246465,92.0,17562,6.0,75.81,1171.0
12,2024-11-05 22:00:04.937763,266704,248888,92.0,17816,6.0,76.58,2677.0
13,2024-11-05 22:00:31.328198,267562,249662,92.0,17900,6.0,76.83,858.0
14,2024-11-05 22:01:14.945025,274568,255899,92.0,18669,6.0,78.84,7006.0
15,2024-11-07 14:38:10.095180,281161,262132,92.0,19029,6.0,84.72,6593.0
16,2024-11-07 15:00:30.869124,282983,263868,92.0,19115,6.0,85.27,1822.0
17,2024-11-07 15:00:44.735258,288394,268992,92.0,19402,6.0,86.9,5411.0
18,2024-11-08 16:32:06.928386,298913,278860,92.0,20053,6.0,90.08,10519.0
19,2024-11-08 16:33:16.638271,300663,280457,92.0,20206,6.0,90.61,1750.0
20,2024-11-09 19:49:01.297333,302866,282525,92.0,20341,6.0,91.28,2203.0
21,2024-11-09 19:50:10.519119,307446,286787,92.0,20659,6.0,92.67,4580.0
