,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update
0,2024-11-05 13:57:33.481434,0,0,0.0,0,0.0,0.0,0.0
1,2024-11-05 19:23:00.958075,837,283,33.0,554,64.0,1.0,837.0
2,2024-11-05 19:26:43.175578,2753,872,30.0,1881,66.0,1.0,1916.0
3,2024-11-05 19:27:20.005217,4275,1327,30.0,2948,67.0,1.0,1522.0
4,2024-11-05 19:27:46.851383,5710,1812,30.0,3898,66.0,1.0,1435.0
5,2024-11-05 19:29:31.070801,7196,2345,31.0,4851,65.0,1.0,1486.0
6,2024-11-05 19:30:06.058437,7632,2425,30.0,5207,66.0,1.0,436.0
7,2024-11-05 19:30:49.618067,8164,2521,30.0,5643,67.0,1.0,532.0
8,2024-11-05 19:34:36.313606,11101,3572,31.0,7529,66.0,1.0,2937.0
9,2024-11-05 19:39:34.959745,13280,4153,30.0,9127,66.0,1.0,2179.0
10,2024-11-05 19:41:06.076519,14942,4661,30.0,10281,66.0,1.0,1662.0
11,2024-11-05 19:48:40.015814,16219,5558,33.0,10661,63.0,1.0,1277.0
12,2024-11-05 19:51:50.073994,17830,6000,32.0,11830,64.0,1.0,1611.0
13,2024-11-05 19:54:02.927618,19065,6559,33.0,12506,63.0,1.0,1235.0
14,2024-11-05 20:00:31.377312,20707,7387,34.0,13320,62.0,1.0,1642.0
15,2024-11-05 20:01:18.457816,23979,8515,34.0,15464,62.0,1.0,3272.0
16,2024-11-05 20:04:54.560828,26081,9490,35.0,16591,61.0,1.0,2102.0
17,2024-11-05 20:05:15.579715,26878,9836,35.0,17042,61.0,1.0,797.0
18,2024-11-05 20:08:15.504642,27654,10252,36.0,17402,61.0,1.0,776.0
19,2024-11-05 20:09:49.435036,28611,10585,35.0,18026,61.0,1.0,957.0
20,2024-11-05 20:12:50.820859,29113,10945,36.0,18168,60.0,1.0,502.0
21,2024-11-05 20:22:14.729827,546240,398669,71.0,147571,26.0,17.89,517127.0
22,2024-11-05 20:23:08.752569,601749,420373,68.0,181376,29.0,19.71,55509.0
23,2024-11-05 20:23:31.644995,802224,544936,66.0,257288,31.0,26.27,200475.0
24,2024-11-05 20:23:50.285409,879577,583090,65.0,296487,33.0,28.79,77353.0
