,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update
0,2024-11-05 13:57:33.481434,0,0,0.0,0,0.0,0.0,0.0
1,2024-11-05 19:07:49.004791,113117,87857,76.0,25260,22.0,1.9,113117.0
2,2024-11-05 19:12:38.584680,126984,93745,72.0,33239,25.0,2.14,13867.0
3,2024-11-05 19:14:32.534305,127578,93894,72.0,33684,26.0,2.15,594.0
4,2024-11-05 19:16:41.059718,129134,94358,72.0,34776,26.0,2.17,1556.0
5,2024-11-05 19:17:08.557916,174160,115622,65.0,58538,33.0,2.94,45026.0
6,2024-11-05 19:17:54.830138,191357,126313,64.0,65044,33.0,3.23,17197.0
7,2024-11-05 19:18:27.538435,192778,126724,64.0,66054,33.0,3.26,1421.0
8,2024-11-05 19:18:51.328246,193678,127022,64.0,66656,33.0,3.27,900.0
9,2024-11-05 19:19:17.159599,217202,137988,62.0,79214,35.0,3.67,23524.0
10,2024-11-05 19:20:31.877430,217781,138182,62.0,79599,35.0,3.68,579.0
11,2024-11-05 19:22:17.628465,241903,149551,60.0,92352,37.0,4.09,24122.0
12,2024-11-05 19:25:05.529327,242782,149974,60.0,92808,37.0,4.11,879.0
13,2024-11-05 19:25:23.647193,262905,157452,58.0,105453,39.0,4.45,20123.0
14,2024-11-05 19:26:04.946099,269225,160981,58.0,108244,39.0,4.56,6320.0
15,2024-11-05 19:26:43.175578,270016,161111,58.0,108905,39.0,4.57,791.0
16,2024-11-05 19:27:20.005217,292971,170596,57.0,122375,40.0,4.96,22955.0
17,2024-11-05 19:31:08.975776,294024,170850,57.0,123174,41.0,4.97,1053.0
18,2024-11-05 19:32:22.754183,317392,185599,57.0,131793,40.0,5.37,23368.0
19,2024-11-05 19:33:14.659481,318106,185868,57.0,132238,40.0,5.38,714.0
20,2024-11-05 19:35:49.834897,318209,185895,57.0,132314,40.0,5.39,103.0
21,2024-11-05 19:37:18.379187,325011,188623,56.0,136388,41.0,5.5,6802.0
22,2024-11-05 19:38:05.214553,332251,190215,56.0,142036,41.0,5.62,7240.0
23,2024-11-05 19:38:46.041744,332946,190799,56.0,142147,41.0,5.63,695.0
24,2024-11-05 19:39:34.959745,386226,219291,55.0,166935,42.0,6.54,53280.0
25,2024-11-05 19:40:13.807439,389164,220762,55.0,168402,42.0,6.58,2938.0
26,2024-11-05 19:42:33.699672,408291,233483,56.0,174808,41.0,6.91,19127.0
27,2024-11-05 19:43:50.859947,427368,242744,55.0,184624,42.0,7.24,19077.0
28,2024-11-05 19:47:06.683521,443314,249344,55.0,193970,42.0,7.5,15946.0
29,2024-11-05 19:49:31.914511,449595,253005,55.0,196590,42.0,7.61,6281.0
30,2024-11-05 19:50:26.318877,450569,253290,55.0,197279,42.0,7.63,974.0
31,2024-11-05 19:50:54.034137,451651,253760,55.0,197891,42.0,7.65,1082.0
32,2024-11-05 19:51:24.686330,451902,253897,55.0,198005,42.0,7.65,251.0
33,2024-11-05 19:51:50.073994,453055,254252,55.0,198803,43.0,7.67,1153.0
34,2024-11-05 19:54:24.412889,462078,258338,54.0,203740,43.0,7.82,9023.0
35,2024-11-05 19:55:45.764229,465162,259606,54.0,205556,43.0,7.88,3084.0
36,2024-11-05 19:57:00.771895,471256,261328,54.0,209928,43.0,7.98,6094.0
37,2024-11-05 19:58:25.572845,488242,272627,54.0,215615,43.0,8.27,16986.0
38,2024-11-05 19:59:23.390924,500198,278245,54.0,221953,43.0,8.47,11956.0
39,2024-11-05 20:00:48.151409,547571,293163,52.0,254408,45.0,9.27,47373.0
40,2024-11-05 20:01:18.457816,548228,293341,52.0,254887,45.0,9.28,657.0
41,2024-11-05 20:05:15.579715,555633,298288,52.0,257345,45.0,9.4,7405.0
42,2024-11-05 20:06:13.491149,556172,298417,52.0,257755,45.0,9.41,539.0
43,2024-11-05 20:07:04.495033,561710,301303,52.0,260407,45.0,9.5,5538.0
44,2024-11-05 20:08:15.504642,563781,301981,52.0,261800,45.0,9.54,2071.0
45,2024-11-05 20:09:29.078908,568817,305221,52.0,263596,45.0,9.62,5036.0
46,2024-11-05 20:10:17.549929,578330,309977,52.0,268353,45.0,9.78,9513.0
47,2024-11-05 20:11:38.999415,579965,310584,52.0,269381,45.0,9.81,1635.0
48,2024-11-05 20:13:35.039448,582314,311347,52.0,270967,45.0,9.85,2349.0
49,2024-11-05 20:14:03.789644,583087,311564,52.0,271523,45.0,9.86,773.0
50,2024-11-05 20:14:29.274119,584306,311862,52.0,272444,45.0,9.88,1219.0
51,2024-11-05 20:16:11.430597,584822,311985,52.0,272837,45.0,9.89,516.0
52,2024-11-05 20:19:11.059684,630834,345381,53.0,285453,44.0,10.67,46012.0
53,2024-11-05 20:19:59.838346,631258,345494,53.0,285764,44.0,10.68,424.0
54,2024-11-05 20:22:14.729827,638892,348325,53.0,290567,44.0,10.81,7634.0
55,2024-11-05 20:23:50.285409,682914,371606,53.0,311308,44.0,11.55,44022.0
56,2024-11-05 20:24:33.216660,683187,371673,53.0,311514,44.0,11.56,273.0
57,2024-11-05 20:25:21.265248,689868,374157,53.0,315711,44.0,11.67,6681.0
58,2024-11-05 20:27:40.156684,696513,378221,53.0,318292,44.0,11.78,6645.0
59,2024-11-05 20:30:03.396451,700107,378923,53.0,321184,45.0,12.09,3594.0
60,2024-11-05 20:31:06.507418,706182,381555,53.0,324627,45.0,12.2,6075.0
61,2024-11-05 20:32:18.288034,721065,390686,53.0,330379,44.0,12.45,14883.0
62,2024-11-05 20:32:44.746666,723250,391392,53.0,331858,45.0,12.49,2185.0
63,2024-11-05 20:34:09.521646,725729,392030,53.0,333699,45.0,12.53,2479.0
64,2024-11-05 20:59:43.218810,906659,474063,51.0,432596,46.0,15.65,180930.0
65,2024-11-05 21:00:11.169387,913762,475973,51.0,437789,47.0,15.77,7103.0
66,2024-11-05 21:00:32.582562,916173,476816,51.0,439357,47.0,15.81,2411.0
67,2024-11-05 21:01:19.562081,924496,479892,50.0,444604,47.0,15.96,8323.0
68,2024-11-05 21:02:36.933841,943267,487893,50.0,455374,47.0,16.28,18771.0
69,2024-11-05 21:03:27.251477,946770,489262,50.0,457508,47.0,16.34,3503.0
70,2024-11-05 21:04:42.023415,955879,492825,50.0,463054,47.0,16.5,9109.0
71,2024-11-05 21:05:27.217459,970611,498539,50.0,472072,47.0,16.75,14732.0
72,2024-11-05 21:06:34.530663,980529,505730,50.0,474799,47.0,16.92,9918.0
73,2024-11-05 21:06:59.849565,981493,506042,50.0,475451,47.0,16.94,964.0
74,2024-11-05 21:09:12.725190,994000,510426,50.0,483574,47.0,17.15,12507.0
75,2024-11-05 21:10:26.538995,1001868,514496,50.0,487372,47.0,17.29,7868.0
76,2024-11-05 21:11:51.714687,1028256,523268,49.0,504988,48.0,17.74,26388.0
77,2024-11-05 21:12:12.847627,1030583,524006,49.0,506577,48.0,17.78,2327.0
78,2024-11-05 21:13:24.514897,1030965,524100,49.0,506865,48.0,17.79,382.0
79,2024-11-05 21:14:23.104368,1032538,524453,49.0,508085,48.0,17.82,1573.0
80,2024-11-05 21:15:29.589049,1036890,526088,49.0,510802,48.0,17.89,4352.0
81,2024-11-05 21:15:48.639148,1076191,551726,50.0,524465,47.0,18.57,39301.0
