,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update
0,2024-11-05 13:57:33.481434,0,0,0.0,0,0.0,0.0,0.0
1,2024-11-05 21:01:43.745848,6874,3335,26.0,3539,28.0,2.04,6874.0
2,2024-11-05 21:31:34.395809,20580,8089,38.0,12491,58.0,3.43,13706.0
3,2024-11-05 21:37:33.612565,21403,8464,38.0,12939,58.0,3.57,823.0
4,2024-11-05 21:41:37.288234,21414,8465,38.0,12949,58.0,3.57,11.0
5,2024-11-05 21:42:41.128352,26636,9755,35.0,16881,61.0,4.44,5222.0
6,2024-11-05 21:47:16.099907,27136,9954,35.0,17182,61.0,4.52,500.0
7,2024-11-05 21:51:39.342723,31118,11501,35.0,19617,61.0,5.18,3982.0
8,2024-11-05 21:57:58.693327,32970,12307,36.0,20663,60.0,5.52,1852.0
9,2024-11-05 22:01:36.468061,34046,12669,36.0,21377,61.0,5.7,1076.0
10,2024-11-05 22:05:42.401504,34178,12688,36.0,21490,61.0,5.73,132.0
11,2024-11-05 22:07:39.200860,34594,12756,35.0,21838,61.0,5.8,416.0
12,2024-11-05 22:11:36.048701,35093,12935,35.0,22158,61.0,5.88,499.0
13,2024-11-05 22:17:39.277888,35306,13019,35.0,22287,61.0,5.92,213.0
14,2024-11-05 22:20:39.678908,35730,13076,35.0,22654,61.0,5.99,424.0
15,2024-11-05 22:21:40.594586,38465,13808,34.0,24657,62.0,6.45,2735.0
16,2024-11-05 22:27:53.842631,40812,14283,33.0,26529,63.0,6.85,2347.0
17,2024-11-05 22:31:34.399425,41565,14365,33.0,27200,63.0,6.97,753.0
18,2024-11-05 22:37:48.776605,44769,15604,33.0,29165,63.0,7.52,3204.0
19,2024-11-05 22:41:28.459450,77484,27608,34.0,49876,62.0,13.01,32715.0
20,2024-11-05 22:47:25.764379,80335,28257,34.0,52078,62.0,13.49,2851.0
21,2024-11-05 22:51:52.475819,80983,28385,34.0,52598,63.0,13.59,648.0
22,2024-11-05 22:55:17.750723,81950,28596,33.0,53354,63.0,13.76,967.0
23,2024-11-05 22:57:31.927505,83188,29008,33.0,54180,63.0,13.97,1238.0
24,2024-11-05 23:01:45.839884,84570,29419,33.0,55151,63.0,14.2,1382.0
25,2024-11-05 23:07:45.074610,85621,29602,33.0,56019,63.0,14.38,1051.0
26,2024-11-05 23:11:27.827937,86881,29826,33.0,57055,63.0,14.61,1260.0
27,2024-11-05 23:17:39.237139,87635,30010,33.0,57625,63.0,14.73,754.0
28,2024-11-05 23:21:16.115180,92609,31094,32.0,61515,64.0,15.57,4974.0
29,2024-11-05 23:23:25.582547,93561,31296,32.0,62265,64.0,15.73,952.0
30,2024-11-05 23:27:44.924700,95131,32028,32.0,63103,64.0,16.0,1570.0
31,2024-11-05 23:31:54.003902,96263,32433,32.0,63830,64.0,16.19,1132.0
32,2024-11-05 23:34:42.898984,96914,32585,32.0,64329,64.0,16.3,651.0
33,2024-11-05 23:37:38.808022,98468,32919,32.0,65549,64.0,16.57,1554.0
34,2024-11-05 23:42:02.904091,100193,33231,32.0,66962,64.0,16.86,1725.0
35,2024-11-05 23:47:36.285401,103160,34007,32.0,69153,65.0,17.36,2967.0
36,2024-11-05 23:48:01.377692,104224,34228,31.0,69996,65.0,17.54,1064.0
37,2024-11-05 23:51:09.858580,106918,34799,31.0,72119,65.0,17.99,2694.0
38,2024-11-05 23:58:04.969976,118850,41578,33.0,77272,63.0,20.01,11932.0
39,2024-11-06 00:01:31.850108,120607,41960,33.0,78647,63.0,20.31,1757.0
40,2024-11-06 00:05:11.963898,121422,42036,33.0,79386,63.0,20.45,815.0
41,2024-11-06 00:07:38.748560,168177,71928,41.0,96249,55.0,28.33,46755.0
42,2024-11-06 00:11:41.988817,168656,72044,41.0,96612,55.0,28.39,479.0
43,2024-11-06 00:21:33.953274,170790,72542,41.0,98248,55.0,29.01,2134.0
44,2024-11-06 00:27:27.410122,173097,72990,40.0,100107,56.0,29.45,2307.0
45,2024-11-06 00:31:29.047672,174010,73229,40.0,100781,56.0,29.58,913.0
46,2024-11-06 00:37:28.282175,178406,74603,40.0,103803,56.0,30.33,4396.0
47,2024-11-06 00:41:28.324386,179071,74748,40.0,104323,56.0,30.45,665.0
