,Datetime_Extraction,Total_Votes,State,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update,Additional_Trump_Votes_Since_Last_Update,Additional_Harris_Votes_Since_Last_Update,Pct_New_Votes_For_Trump,Pct_New_Votes_For_Harris
4,2024-11-05 17:11:17.563644,31765.00,Indiana,22847.00,70.00,8918.00,27.00,0.00,13715.00,4170.00,9545.00,30.40,69.60
5,2024-11-05 17:20:01.722251,56938.00,Indiana,15856.00,27.00,41082.00,71.00,0.00,25173.00,32164.00,-6991.00,127.77,-27.77
6,2024-11-05 17:21:56.852825,70421.00,Indiana,19335.00,27.00,51086.00,71.00,0.00,13483.00,10004.00,3479.00,74.20,25.80
62,2024-11-05 18:49:07.652062,731383.00,Indiana,259660.00,34.00,471723.00,63.00,23.72,5727.00,4523.00,1204.00,78.98,21.02
63,2024-11-05 18:51:02.305009,733809.00,Indiana,256393.00,34.00,477416.00,64.00,23.80,2426.00,5693.00,-3267.00,234.67,-134.67
64,2024-11-05 18:51:52.615343,739127.00,Indiana,257410.00,34.00,481717.00,64.00,23.97,5318.00,4301.00,1017.00,80.88,19.12
189,2024-11-06 09:42:18.788175,2782719.00,Indiana,1114106.00,39.00,1668613.00,58.00,92.95,9.00,7.00,2.00,77.78,22.22
190,2024-11-06 10:02:57.413632,2783074.00,Indiana,1115077.00,39.00,1667997.00,58.00,92.96,355.00,-616.00,971.00,-173.52,273.52
191,2024-11-06 10:44:59.665635,2791619.00,Indiana,1118811.00,39.00,1672808.00,58.00,93.24,8545.00,4811.00,3734.00,56.30,43.70
192,2024-11-06 12:12:53.893203,2791264.00,Indiana,1117840.00,39.00,1673424.00,58.00,93.22,-355.00,616.00,-971.00,-173.52,273.52
193,2024-11-06 12:37:49.393836,2791437.00,Indiana,1117881.00,39.00,1673556.00,58.00,93.22,173.00,132.00,41.00,76.30,23.70
