,Datetime_Extraction,Total_Votes,State,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update,Additional_Trump_Votes_Since_Last_Update,Additional_Harris_Votes_Since_Last_Update,Pct_New_Votes_For_Trump,Pct_New_Votes_For_Harris
97,2024-11-05 21:35:46.855016,1313427.00,Michigan,654141.00,48.00,659286.00,49.00,22.66,7501.00,4860.00,2641.00,64.79,35.21
98,2024-11-05 21:36:16.616115,1316966.00,Michigan,660055.00,49.00,656911.00,49.00,22.72,3539.00,-2375.00,5914.00,-67.11,167.11
99,2024-11-05 21:37:33.612565,1323607.00,Michigan,662881.00,49.00,660726.00,49.00,22.84,6641.00,3815.00,2826.00,57.45,42.55
117,2024-11-05 21:50:26.538328,1489008.00,Michigan,724756.00,47.00,764252.00,50.00,25.68,42212.00,25977.00,16235.00,61.54,38.46
118,2024-11-05 21:51:39.342723,1496858.00,Michigan,722768.00,47.00,774090.00,50.00,25.82,7850.00,9838.00,-1988.00,125.32,-25.32
119,2024-11-05 21:52:25.443590,1515276.00,Michigan,730187.00,47.00,785089.00,50.00,26.14,18418.00,10999.00,7419.00,59.72,40.28
364,2024-11-06 02:28:13.152062,4585135.00,Michigan,2134307.00,45.00,2450828.00,52.00,78.57,7178.00,3810.00,3368.00,53.08,46.92
365,2024-11-06 02:32:30.383236,4585713.00,Michigan,2135133.00,45.00,2450580.00,52.00,79.74,578.00,-248.00,826.00,-42.91,142.91
366,2024-11-06 02:34:31.722110,4587872.00,Michigan,2135825.00,45.00,2452047.00,52.00,79.78,2159.00,1467.00,692.00,67.95,32.05
414,2024-11-06 12:20:02.390625,5507538.00,Michigan,2713281.00,48.00,2794257.00,49.00,98.66,1078.00,420.00,658.00,38.96,61.04
415,2024-11-06 12:48:22.700680,5253853.00,Michigan,2623785.00,48.00,2630068.00,49.00,94.14,-253685.00,-164189.00,-89496.00,64.72,35.28
416,2024-11-06 12:49:00.719252,5259044.00,Michigan,2625860.00,48.00,2633184.00,49.00,94.23,5191.00,3116.00,2075.00,60.03,39.97
441,2024-11-06 15:31:32.161689,5510084.00,Michigan,2714167.00,48.00,2795917.00,49.00,98.76,556.00,458.00,98.00,82.37,17.63
442,2024-11-07 08:24:12.115570,5509971.00,Michigan,2713934.00,48.00,2796037.00,49.00,98.75,-113.00,120.00,-233.00,-106.19,206.19
443,2024-11-07 10:05:08.800872,5511380.00,Michigan,2714626.00,48.00,2796754.00,49.00,98.77,1409.00,717.00,692.00,50.89,49.11
