,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update,Additional_Trump_Votes_Since_Last_Update,Additional_Harris_Votes_Since_Last_Update,Pct_New_Votes_For_Trump,Pct_New_Votes_For_Harris
292,2024-11-06 09:38:27.311163,11161736.00,4794474.00,42.00,6367262.00,56.00,97.52,365.00,126.00,239.00,34.52,65.48
293,2024-11-06 11:41:16.892477,11161698.00,4794455.00,42.00,6367243.00,56.00,99.00,-38.00,-19.00,-19.00,50.00,50.00
294,2024-11-06 11:47:29.548715,11161487.00,4794360.00,42.00,6367127.00,56.00,99.00,-211.00,-116.00,-95.00,54.98,45.02
295,2024-11-06 11:49:29.556228,11161464.00,4794340.00,42.00,6367124.00,56.00,99.00,-23.00,-3.00,-20.00,13.04,86.96
296,2024-11-06 12:08:04.315407,11161675.00,4794435.00,42.00,6367240.00,56.00,99.00,211.00,116.00,95.00,54.98,45.02
300,2024-11-06 16:10:07.785691,11164860.00,4795101.00,42.00,6369759.00,56.00,99.00,70.00,53.00,17.00,75.71,24.29
301,2024-11-06 17:37:44.028932,11164649.00,4795006.00,42.00,6369643.00,56.00,99.00,-211.00,-116.00,-95.00,54.98,45.02
302,2024-11-06 18:43:30.388815,11173343.00,4800797.00,42.00,6372546.00,56.00,99.00,8694.00,2903.00,5791.00,33.39,66.61
303,2024-11-06 19:53:59.647305,11181929.00,4806487.00,42.00,6375442.00,56.00,99.00,8586.00,2896.00,5690.00,33.73,66.27
304,2024-11-07 12:17:55.791603,11181728.00,4806390.00,42.00,6375338.00,56.00,99.00,-201.00,-104.00,-97.00,51.74,48.26
305,2024-11-08 09:32:22.836790,11181733.00,4806390.00,42.00,6375343.00,56.00,99.00,5.00,5.00,0.00,100.00,0.00
