,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update
0,2024-11-05 13:57:33.481434,0,0,0.0,0,0.0,0.0,0.0
1,2024-11-05 20:02:12.256627,1265722,930879,73.0,334843,26.0,14.59,1265722.0
2,2024-11-05 20:03:15.738383,1311326,952653,72.0,358673,27.0,15.12,45604.0
3,2024-11-05 20:04:15.951993,1314658,954601,72.0,360057,27.0,15.16,3332.0
4,2024-11-05 20:06:13.491149,1316600,955358,72.0,361242,27.0,15.18,1942.0
5,2024-11-05 20:07:04.495033,1320495,958432,72.0,362063,27.0,15.22,3895.0
6,2024-11-05 20:08:15.504642,1383943,993035,71.0,390908,28.0,15.96,63448.0
7,2024-11-05 20:09:29.078908,1400385,1004734,71.0,395651,28.0,16.15,16442.0
8,2024-11-05 20:11:38.999415,1436150,1026097,71.0,410053,28.0,16.56,35765.0
9,2024-11-05 20:13:35.039448,1436971,1026298,71.0,410673,28.0,16.57,821.0
10,2024-11-05 20:14:03.789644,1466154,1043790,71.0,422364,28.0,16.9,29183.0
11,2024-11-05 20:15:41.581796,1473521,1048103,71.0,425418,28.0,16.99,7367.0
12,2024-11-05 20:19:11.059684,1694667,1173279,69.0,521388,30.0,19.54,221146.0
13,2024-11-05 20:19:34.651066,1702687,1176610,69.0,526077,30.0,19.63,8020.0
14,2024-11-05 20:21:48.801889,1873581,1288045,68.0,585536,31.0,21.6,170894.0
15,2024-11-05 20:22:14.729827,1898627,1303043,68.0,595584,31.0,21.89,25046.0
16,2024-11-05 20:23:08.752569,1907033,1307972,68.0,599061,31.0,21.99,8406.0
17,2024-11-05 20:23:31.644995,1913554,1311764,68.0,601790,31.0,22.06,6521.0
18,2024-11-05 20:23:50.285409,1926666,1317036,68.0,609630,31.0,22.21,13112.0
19,2024-11-05 20:24:12.910344,2011119,1369980,68.0,641139,31.0,23.19,84453.0
20,2024-11-05 20:25:21.265248,2016625,1372181,68.0,644444,31.0,23.25,5506.0
21,2024-11-05 20:26:03.531494,2023992,1376494,68.0,647498,31.0,23.34,7367.0
22,2024-11-05 20:26:31.449541,2252918,1524989,67.0,727929,32.0,25.97,228926.0
23,2024-11-05 20:28:44.578019,2275058,1537617,67.0,737441,32.0,26.23,22140.0
24,2024-11-05 20:29:08.384758,2296242,1548178,67.0,748064,32.0,26.47,21184.0
25,2024-11-05 20:30:03.396451,2654842,1730461,65.0,924381,34.0,30.61,358600.0
26,2024-11-05 20:31:06.507418,2663879,1734685,65.0,929194,34.0,30.71,9037.0
27,2024-11-05 20:31:29.869970,2844746,1850837,65.0,993909,34.0,32.8,180867.0
28,2024-11-05 20:32:18.288034,2915255,1898110,65.0,1017145,34.0,33.61,70509.0
29,2024-11-05 20:32:44.746666,2962193,1930145,65.0,1032048,34.0,34.15,46938.0
30,2024-11-05 20:34:09.521646,2962977,1930824,65.0,1032153,34.0,34.16,784.0
31,2024-11-05 20:59:43.218810,4389793,2733335,62.0,1656458,37.0,51.11,1426816.0
