,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update
0,2024-11-05 13:57:33.481434,0,0,0.0,0,0.0,0.0,0.0
1,2024-11-05 18:37:34.695112,75224,28792,37.0,46432,61.0,1.27,75224.0
2,2024-11-05 18:38:21.931110,150823,63813,42.0,87010,57.0,2.54,75599.0
3,2024-11-05 18:39:52.344029,161839,66282,40.0,95557,58.0,2.72,11016.0
4,2024-11-05 18:42:39.907675,210989,93031,43.0,117958,55.0,3.55,49150.0
5,2024-11-05 18:43:20.235742,220844,94672,42.0,126172,56.0,3.72,9855.0
6,2024-11-05 18:46:02.613505,284640,119271,41.0,165369,57.0,4.79,63796.0
7,2024-11-05 18:49:34.596562,317473,129109,40.0,188364,58.0,5.34,32833.0
8,2024-11-05 18:51:52.615343,336678,135708,40.0,200970,59.0,5.66,19205.0
9,2024-11-05 18:52:15.175789,441794,194239,43.0,247555,55.0,7.43,105116.0
10,2024-11-05 18:53:57.719795,442011,194309,43.0,247702,55.0,7.44,217.0
11,2024-11-05 18:56:09.610010,491323,208623,42.0,282700,57.0,8.27,49312.0
12,2024-11-05 18:56:39.863198,588774,269748,45.0,319026,53.0,9.9,97451.0
13,2024-11-05 18:57:56.145883,830510,439705,52.0,390805,46.0,13.98,241736.0
14,2024-11-05 18:58:16.530495,1246213,656821,52.0,589392,46.0,20.96,415703.0
15,2024-11-05 18:59:21.444174,1285933,676839,52.0,609094,47.0,21.63,39720.0
16,2024-11-05 19:01:37.600216,1304691,681256,51.0,623435,47.0,21.95,18758.0
17,2024-11-05 19:02:12.192408,1507219,826351,54.0,680868,44.0,25.35,202528.0
18,2024-11-05 19:04:22.608155,1689618,906171,53.0,783447,46.0,28.42,182399.0
19,2024-11-05 19:06:21.677297,1690325,906272,53.0,784053,46.0,28.43,707.0
20,2024-11-05 19:07:26.826890,1845376,990208,53.0,855168,45.0,31.08,155051.0
21,2024-11-05 19:08:35.603914,1846015,990283,53.0,855732,45.0,31.09,639.0
22,2024-11-05 19:09:03.196793,1847715,990703,53.0,857012,46.0,31.12,1700.0
23,2024-11-05 19:10:28.155640,1943209,1024190,52.0,919019,46.0,32.74,95494.0
24,2024-11-05 19:10:43.832591,1996777,1047865,52.0,948912,47.0,33.64,53568.0
25,2024-11-05 19:13:49.368413,2016620,1054726,51.0,961894,47.0,33.96,19843.0
26,2024-11-05 19:15:31.087408,2057494,1071553,51.0,985941,47.0,34.64,40874.0
27,2024-11-05 19:15:55.050435,2067816,1074656,51.0,993160,47.0,34.82,10322.0
28,2024-11-05 19:16:14.060814,2111025,1090108,51.0,1020917,47.0,35.54,43209.0
29,2024-11-05 19:17:08.557916,2115847,1093377,51.0,1022470,47.0,35.63,4822.0
30,2024-11-05 19:18:27.538435,2116728,1093666,51.0,1023062,47.0,35.64,881.0
31,2024-11-05 19:18:51.328246,2134086,1099240,51.0,1034846,48.0,35.93,17358.0
32,2024-11-05 19:19:17.159599,2182857,1112974,50.0,1069883,48.0,36.75,48771.0
33,2024-11-05 19:20:31.877430,2183725,1113178,50.0,1070547,48.0,36.77,868.0
34,2024-11-05 19:20:48.623960,2194276,1115205,50.0,1079071,48.0,36.91,10551.0
35,2024-11-05 19:22:17.628465,2228256,1126721,50.0,1101535,49.0,37.48,33980.0
36,2024-11-05 19:22:32.845450,2274747,1144308,49.0,1130439,49.0,38.27,46491.0
37,2024-11-05 19:25:05.529327,2282489,1146499,49.0,1135990,49.0,38.4,7742.0
38,2024-11-05 19:25:23.647193,2330270,1163044,49.0,1167226,49.0,39.2,47781.0
39,2024-11-05 19:28:31.170040,2342193,1165808,49.0,1176385,49.0,39.4,11923.0
40,2024-11-05 19:31:33.571017,2377710,1178374,49.0,1199336,50.0,40.0,35517.0
41,2024-11-05 19:33:59.972294,2449349,1204623,48.0,1244726,50.0,41.2,71639.0
42,2024-11-05 19:36:56.186535,2453893,1205947,48.0,1247946,50.0,41.28,4544.0
43,2024-11-05 19:37:41.020128,2460164,1206941,48.0,1253223,50.0,41.39,6271.0
44,2024-11-05 19:38:46.041744,2466969,1209225,48.0,1257744,50.0,41.5,6805.0
45,2024-11-05 19:39:11.051087,2475188,1211217,48.0,1263971,50.0,41.64,8219.0
46,2024-11-05 19:40:13.807439,2499516,1217158,48.0,1282358,50.0,42.05,24328.0
47,2024-11-05 19:41:06.076519,2508676,1219719,48.0,1288957,51.0,42.21,9160.0
48,2024-11-05 19:41:44.743755,2514034,1221077,48.0,1292957,51.0,42.3,5358.0
49,2024-11-05 19:42:33.699672,2514056,1221080,48.0,1292976,51.0,42.3,22.0
50,2024-11-05 19:43:22.215652,2521825,1225749,48.0,1296076,51.0,42.43,7769.0
51,2024-11-05 19:43:50.859947,2561629,1237312,47.0,1324317,51.0,43.1,39804.0
52,2024-11-05 19:46:16.093187,2590893,1246476,47.0,1344417,51.0,43.59,29264.0
