,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update
0,2024-11-05 13:57:33.481434,0,0,0.0,0,0.0,0.0,0.0
1,2024-11-05 19:08:35.603914,54475,14192,25.0,40283,73.0,3.19,54475.0
2,2024-11-05 19:09:55.968702,75908,19468,25.0,56440,73.0,4.44,21433.0
3,2024-11-05 19:12:38.584680,96462,24801,25.0,71661,73.0,5.64,20554.0
4,2024-11-05 19:14:32.534305,108956,27913,25.0,81043,73.0,6.36,12494.0
5,2024-11-05 19:16:14.060814,199466,71666,35.0,127800,63.0,11.66,90510.0
6,2024-11-05 19:16:41.059718,204633,73748,35.0,130885,63.0,11.97,5167.0
7,2024-11-05 19:17:54.830138,211065,75782,35.0,135283,63.0,12.34,6432.0
8,2024-11-05 19:21:09.744061,229856,81387,34.0,148469,63.0,13.44,18791.0
9,2024-11-05 19:23:29.564684,279690,105116,37.0,174574,61.0,16.36,49834.0
10,2024-11-05 19:25:23.647193,313643,115138,36.0,198505,62.0,18.34,33953.0
11,2024-11-05 19:27:20.005217,323395,117924,36.0,205471,62.0,18.92,9752.0
12,2024-11-05 19:29:31.070801,329786,119132,35.0,210654,63.0,19.29,6391.0
13,2024-11-05 19:30:49.618067,345091,123140,35.0,221951,63.0,20.19,15305.0
14,2024-11-05 19:31:33.571017,348405,124056,35.0,224349,63.0,20.38,3314.0
15,2024-11-05 19:33:35.690397,354017,125424,34.0,228593,63.0,20.71,5612.0
16,2024-11-05 19:35:31.543892,359090,126543,34.0,232547,63.0,21.01,5073.0
17,2024-11-05 19:37:41.020128,367767,129511,34.0,238256,63.0,21.52,8677.0
18,2024-11-05 19:39:34.959745,377565,131550,34.0,246015,64.0,22.1,9798.0
19,2024-11-05 19:41:44.743755,390429,134386,33.0,256043,64.0,22.86,12864.0
20,2024-11-05 19:43:50.859947,408516,138735,33.0,269781,65.0,23.92,18087.0
21,2024-11-05 19:45:21.089591,425471,142431,33.0,283040,65.0,24.92,16955.0
22,2024-11-05 19:47:06.683521,485831,165694,33.0,320137,64.0,28.46,60360.0
23,2024-11-05 19:49:31.914511,501784,170840,33.0,330944,65.0,29.41,15953.0
24,2024-11-05 19:51:50.073994,523484,179260,33.0,344224,64.0,30.68,21700.0
25,2024-11-05 19:53:41.978154,561443,191480,33.0,369963,64.0,32.92,37959.0
26,2024-11-05 19:55:45.764229,582270,196867,33.0,385403,65.0,34.15,20827.0
27,2024-11-05 19:57:32.473916,606449,202732,32.0,403717,65.0,35.58,24179.0
28,2024-11-05 19:59:23.390924,627996,207013,32.0,420983,66.0,36.85,21547.0
29,2024-11-05 20:01:18.457816,659042,215995,32.0,443047,66.0,38.68,31046.0
30,2024-11-05 20:03:15.738383,701773,228694,32.0,473079,66.0,41.21,42731.0
31,2024-11-05 20:05:15.579715,734062,237071,31.0,496991,66.0,43.11,32289.0
32,2024-11-05 20:07:23.230544,757969,244529,31.0,513440,66.0,44.59,23907.0
33,2024-11-05 20:09:29.078908,793506,254132,31.0,539374,66.0,46.69,35537.0
34,2024-11-05 20:11:38.999415,825760,264389,31.0,561371,66.0,48.59,32254.0
35,2024-11-05 20:13:35.039448,866204,277412,31.0,588792,66.0,50.99,40444.0
36,2024-11-05 20:15:41.581796,895455,284651,31.0,610804,67.0,52.71,29251.0
37,2024-11-05 20:19:11.059684,935820,297472,31.0,638348,67.0,55.12,40365.0
38,2024-11-05 20:19:34.651066,972334,306315,30.0,666019,67.0,57.28,36514.0
39,2024-11-05 20:21:48.801889,1000452,313425,30.0,687027,67.0,59.01,28118.0
40,2024-11-05 20:23:50.285409,1027744,322871,30.0,704873,67.0,60.64,27292.0
41,2024-11-05 20:25:21.265248,1046551,327141,30.0,719410,67.0,65.09,18807.0
42,2024-11-05 20:27:40.156684,1069165,334155,30.0,735010,67.0,66.5,22614.0
43,2024-11-05 20:29:28.808859,1093128,342049,30.0,751079,67.0,68.0,23963.0
44,2024-11-05 20:31:06.507418,1105842,345499,30.0,760343,67.0,68.79,12714.0
45,2024-11-05 20:33:30.863932,1123141,350576,30.0,772565,67.0,69.87,17299.0
46,2024-11-05 20:59:43.218810,1285457,403675,30.0,881782,67.0,79.74,162316.0
47,2024-11-05 21:01:43.745848,1287034,403917,30.0,883117,67.0,79.84,1577.0
48,2024-11-05 21:03:27.251477,1288679,404185,30.0,884494,67.0,79.94,1645.0
49,2024-11-05 21:05:27.217459,1298282,408362,30.0,889920,67.0,80.54,9603.0
50,2024-11-05 21:09:12.725190,1317471,416624,31.0,900847,67.0,81.84,19189.0
