,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update,Additional_Trump_Votes_Since_Last_Update,Additional_Harris_Votes_Since_Last_Update,Pct_New_Votes_For_Trump,Pct_New_Votes_For_Harris
0,2024-11-05 13:57:33.481434,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2024-11-05 20:59:43.218810,38397.00,35449.00,91.00,2948.00,7.00,11.01,38397.00,2948.00,35449.00,7.68,92.32
2,2024-11-05 21:03:27.251477,75384.00,70466.00,92.00,4918.00,6.00,21.65,36987.00,1970.00,35017.00,5.33,94.67
3,2024-11-05 21:05:07.872167,146912.00,136775.00,92.00,10137.00,6.00,42.16,71528.00,5219.00,66309.00,7.30,92.70
4,2024-11-05 21:06:59.849565,178803.00,166926.00,92.00,11877.00,6.00,51.30,31891.00,1740.00,30151.00,5.46,94.54
5,2024-11-05 21:15:29.589049,204106.00,190289.00,92.00,13817.00,6.00,58.55,25303.00,1940.00,23363.00,7.67,92.33
6,2024-11-05 21:15:48.639148,259107.00,241929.00,92.00,17178.00,6.00,74.39,55001.00,3361.00,51640.00,6.11,93.89
7,2024-11-05 21:36:40.256663,260764.00,243572.00,92.00,17192.00,6.00,74.82,1657.00,14.00,1643.00,0.84,99.16
8,2024-11-05 21:56:12.469512,261638.00,244365.00,92.00,17273.00,6.00,75.07,874.00,81.00,793.00,9.27,90.73
9,2024-11-05 21:56:30.782573,261929.00,244531.00,92.00,17398.00,6.00,75.20,291.00,125.00,166.00,42.96,57.04
10,2024-11-05 21:58:22.131342,262856.00,245373.00,92.00,17483.00,6.00,75.47,927.00,85.00,842.00,9.17,90.83
11,2024-11-05 21:58:48.872132,264027.00,246465.00,92.00,17562.00,6.00,75.81,1171.00,79.00,1092.00,6.75,93.25
12,2024-11-05 22:00:04.937763,266704.00,248888.00,92.00,17816.00,6.00,76.58,2677.00,254.00,2423.00,9.49,90.51
13,2024-11-05 22:00:31.328198,267562.00,249662.00,92.00,17900.00,6.00,76.83,858.00,84.00,774.00,9.79,90.21
14,2024-11-05 22:01:14.945025,274568.00,255899.00,92.00,18669.00,6.00,78.84,7006.00,769.00,6237.00,10.98,89.02
15,2024-11-07 14:38:10.095180,281161.00,262132.00,92.00,19029.00,6.00,84.72,6593.00,360.00,6233.00,5.46,94.54
16,2024-11-07 15:00:30.869124,282983.00,263868.00,92.00,19115.00,6.00,85.27,1822.00,86.00,1736.00,4.72,95.28
17,2024-11-07 15:00:44.735258,288394.00,268992.00,92.00,19402.00,6.00,86.90,5411.00,287.00,5124.00,5.30,94.70
18,2024-11-08 16:32:06.928386,298913.00,278860.00,92.00,20053.00,6.00,90.08,10519.00,651.00,9868.00,6.19,93.81
19,2024-11-08 16:33:16.638271,300663.00,280457.00,92.00,20206.00,6.00,90.61,1750.00,153.00,1597.00,8.74,91.26
20,2024-11-09 19:49:01.297333,302866.00,282525.00,92.00,20341.00,6.00,91.28,2203.00,135.00,2068.00,6.13,93.87
21,2024-11-09 19:50:10.519119,307446.00,286787.00,92.00,20659.00,6.00,92.67,4580.00,318.00,4262.00,6.94,93.06
