,Datetime_Extraction,Total_Votes,State,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update,Additional_Trump_Votes_Since_Last_Update,Additional_Harris_Votes_Since_Last_Update,Pct_New_Votes_For_Trump,Pct_New_Votes_For_Harris
0,2024-11-05 13:57:33.481434,0.00,Hawaii,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2024-11-06 04:08:13.139445,67482.00,Hawaii,44580.00,64.00,22902.00,33.00,11.77,67482.00,22902.00,44580.00,33.94,66.06
2,2024-11-06 04:09:02.859462,380155.00,Hawaii,243290.00,62.00,136865.00,35.00,66.10,312673.00,113963.00,198710.00,36.45,63.55
3,2024-11-06 04:11:04.749072,427365.00,Hawaii,274099.00,63.00,153266.00,35.00,74.31,47210.00,16401.00,30809.00,34.74,65.26
4,2024-11-06 04:39:07.664202,436809.00,Hawaii,276296.00,62.00,160513.00,36.00,75.94,9444.00,7247.00,2197.00,76.74,23.26
5,2024-11-06 10:06:00.316559,450843.00,Hawaii,284225.00,61.00,166618.00,36.00,82.17,14034.00,6105.00,7929.00,43.50,56.50
6,2024-11-06 10:12:35.207604,454395.00,Hawaii,286202.00,61.00,168193.00,36.00,82.83,3552.00,1575.00,1977.00,44.34,55.66
7,2024-11-06 12:29:51.502040,472155.00,Hawaii,294654.00,61.00,177501.00,36.00,86.09,17760.00,9308.00,8452.00,52.41,47.59
8,2024-11-06 14:51:10.308892,485463.00,Hawaii,302165.00,61.00,183298.00,37.00,88.57,13308.00,5797.00,7511.00,43.56,56.44
9,2024-11-06 16:25:19.347208,488103.00,Hawaii,303511.00,61.00,184592.00,37.00,89.06,2640.00,1294.00,1346.00,49.02,50.98
10,2024-11-06 23:36:02.234326,505553.00,Hawaii,312384.00,60.00,193169.00,37.00,92.29,17450.00,8577.00,8873.00,49.15,50.85
