,Datetime_Extraction,Total_Votes,State,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update,Additional_Trump_Votes_Since_Last_Update,Additional_Harris_Votes_Since_Last_Update,Pct_New_Votes_For_Trump,Pct_New_Votes_For_Harris
0,2024-11-05 13:57:33.481434,0.00,Nevada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2024-11-05 23:55:16.518322,46565.00,Nevada,12682.00,26.00,33883.00,71.00,3.50,46565.00,33883.00,12682.00,72.76,27.24
2,2024-11-05 23:56:44.927656,71603.00,Nevada,19698.00,27.00,51905.00,71.00,5.39,25038.00,18022.00,7016.00,71.98,28.02
3,2024-11-05 23:58:28.225005,74398.00,Nevada,20302.00,26.00,54096.00,71.00,5.60,2795.00,2191.00,604.00,78.39,21.61
4,2024-11-05 23:59:44.703719,242224.00,Nevada,103571.00,41.00,138653.00,56.00,18.22,167826.00,84557.00,83269.00,50.38,49.62
5,2024-11-06 00:00:14.532696,255545.00,Nevada,106793.00,41.00,148752.00,57.00,19.23,13321.00,10099.00,3222.00,75.81,24.19
6,2024-11-06 00:02:27.500892,263188.00,Nevada,108387.00,40.00,154801.00,57.00,19.81,7643.00,6049.00,1594.00,79.14,20.86
7,2024-11-06 00:02:52.393586,998353.00,Nevada,482466.00,47.00,515887.00,50.00,74.88,735165.00,361086.00,374079.00,49.12,50.88
8,2024-11-06 00:03:48.543964,1001094.00,Nevada,483190.00,47.00,517904.00,50.00,75.08,2741.00,2017.00,724.00,73.59,26.41
9,2024-11-06 00:04:30.477254,998729.00,Nevada,482523.00,47.00,516206.00,50.00,74.90,-2365.00,-1698.00,-667.00,71.80,28.20
10,2024-11-06 00:05:42.058260,1001216.00,Nevada,483232.00,47.00,517984.00,50.00,75.09,2487.00,1778.00,709.00,71.49,28.51
11,2024-11-06 00:10:55.539818,1001733.00,Nevada,483330.00,47.00,518403.00,50.00,75.13,517.00,419.00,98.00,81.04,18.96
12,2024-11-06 00:26:04.741081,1003190.00,Nevada,483610.00,47.00,519580.00,50.00,75.24,1457.00,1177.00,280.00,80.78,19.22
13,2024-11-06 00:36:22.255607,1005227.00,Nevada,483993.00,47.00,521234.00,51.00,75.30,2037.00,1654.00,383.00,81.20,18.80
14,2024-11-06 00:40:14.844069,1027621.00,Nevada,493739.00,47.00,533882.00,51.00,76.99,22394.00,12648.00,9746.00,56.48,43.52
15,2024-11-06 00:44:54.115574,1031531.00,Nevada,494856.00,47.00,536675.00,51.00,77.48,3910.00,2793.00,1117.00,71.43,28.57
16,2024-11-06 00:46:34.118170,1032511.00,Nevada,494937.00,47.00,537574.00,51.00,77.55,980.00,899.00,81.00,91.73,8.27
17,2024-11-06 00:54:56.217096,1035541.00,Nevada,496079.00,47.00,539462.00,51.00,77.79,3030.00,1888.00,1142.00,62.31,37.69
18,2024-11-06 00:57:47.483200,1041472.00,Nevada,497474.00,47.00,543998.00,51.00,78.24,5931.00,4536.00,1395.00,76.48,23.52
19,2024-11-06 01:02:14.438074,1047729.00,Nevada,498835.00,46.00,548894.00,51.00,78.71,6257.00,4896.00,1361.00,78.25,21.75
