,Datetime_Extraction,Total_Votes,State,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update,Additional_Trump_Votes_Since_Last_Update,Additional_Harris_Votes_Since_Last_Update,Pct_New_Votes_For_Trump,Pct_New_Votes_For_Harris
0,2024-11-05 13:57:33.481434,6.00,New_Hampshire,3.00,50.00,3.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2024-11-05 18:23:07.473245,12117.00,New_Hampshire,6101.00,49.00,6016.00,49.00,1.49,12111.00,6013.00,6098.00,49.65,50.35
2,2024-11-05 18:25:17.790799,14895.00,New_Hampshire,8133.00,53.00,6762.00,44.00,1.84,2778.00,746.00,2032.00,26.85,73.15
3,2024-11-05 18:25:39.740423,17543.00,New_Hampshire,9146.00,51.00,8397.00,47.00,2.16,2648.00,1635.00,1013.00,61.74,38.26
4,2024-11-05 18:27:06.276589,18885.00,New_Hampshire,9796.00,51.00,9089.00,47.00,2.33,1342.00,692.00,650.00,51.56,48.44
5,2024-11-05 18:30:36.249563,21864.00,New_Hampshire,11655.00,52.00,10209.00,46.00,2.70,2979.00,1120.00,1859.00,37.60,62.40
6,2024-11-05 18:31:24.742544,24718.00,New_Hampshire,13582.00,54.00,11136.00,44.00,3.05,2854.00,927.00,1927.00,32.48,67.52
7,2024-11-05 18:31:52.246420,27860.00,New_Hampshire,15880.00,56.00,11980.00,42.00,3.43,3142.00,844.00,2298.00,26.86,73.14
8,2024-11-05 18:34:18.531055,30398.00,New_Hampshire,17316.00,56.00,13082.00,42.00,3.75,2538.00,1102.00,1436.00,43.42,56.58
9,2024-11-05 18:37:34.695112,32548.00,New_Hampshire,18498.00,56.00,14050.00,42.00,4.01,2150.00,968.00,1182.00,45.02,54.98
10,2024-11-05 18:38:02.198369,37656.00,New_Hampshire,20918.00,54.00,16738.00,43.00,4.64,5108.00,2688.00,2420.00,52.62,47.38
11,2024-11-05 18:38:45.875026,43873.00,New_Hampshire,24906.00,56.00,18967.00,42.00,5.41,6217.00,2229.00,3988.00,35.85,64.15
12,2024-11-05 18:39:05.323670,46013.00,New_Hampshire,26283.00,56.00,19730.00,42.00,5.67,2140.00,763.00,1377.00,35.65,64.35
13,2024-11-05 18:39:52.344029,53779.00,New_Hampshire,30418.00,55.00,23361.00,42.00,6.63,7766.00,3631.00,4135.00,46.76,53.24
14,2024-11-05 18:41:29.260993,56075.00,New_Hampshire,31779.00,56.00,24296.00,42.00,6.91,2296.00,935.00,1361.00,40.72,59.28
15,2024-11-05 18:41:45.536924,59453.00,New_Hampshire,33234.00,55.00,26219.00,43.00,7.33,3378.00,1923.00,1455.00,56.93,43.07
16,2024-11-05 18:42:39.907675,65985.00,New_Hampshire,36117.00,54.00,29868.00,44.00,8.13,6532.00,3649.00,2883.00,55.86,44.14
17,2024-11-05 18:44:04.658539,67245.00,New_Hampshire,36913.00,54.00,30332.00,44.00,8.28,1260.00,464.00,796.00,36.83,63.17
18,2024-11-05 18:44:47.167006,70281.00,New_Hampshire,38929.00,54.00,31352.00,44.00,8.66,3036.00,1020.00,2016.00,33.60,66.40
19,2024-11-05 18:47:25.637257,75069.00,New_Hampshire,41346.00,54.00,33723.00,44.00,9.25,4788.00,2371.00,2417.00,49.52,50.48
20,2024-11-05 18:47:42.420766,77532.00,New_Hampshire,42956.00,54.00,34576.00,44.00,9.55,2463.00,853.00,1610.00,34.63,65.37
21,2024-11-05 18:48:33.049532,80500.00,New_Hampshire,44447.00,54.00,36053.00,44.00,9.92,2968.00,1477.00,1491.00,49.76,50.24
22,2024-11-05 18:50:23.011708,82535.00,New_Hampshire,45738.00,54.00,36797.00,44.00,10.17,2035.00,744.00,1291.00,36.56,63.44
23,2024-11-05 18:51:30.161852,85259.00,New_Hampshire,47058.00,54.00,38201.00,44.00,10.50,2724.00,1404.00,1320.00,51.54,48.46
24,2024-11-05 18:51:52.615343,90072.00,New_Hampshire,49189.00,54.00,40883.00,44.00,11.09,4813.00,2682.00,2131.00,55.72,44.28
25,2024-11-05 18:52:15.175789,93666.00,New_Hampshire,51044.00,53.00,42622.00,45.00,11.54,3594.00,1739.00,1855.00,48.39,51.61
26,2024-11-05 18:53:57.719795,96659.00,New_Hampshire,53165.00,54.00,43494.00,44.00,11.91,2993.00,872.00,2121.00,29.13,70.87
27,2024-11-05 18:59:21.444174,99182.00,New_Hampshire,54648.00,54.00,44534.00,44.00,12.22,2523.00,1040.00,1483.00,41.22,58.78
28,2024-11-05 19:00:18.135014,101015.00,New_Hampshire,55533.00,54.00,45482.00,44.00,12.44,1833.00,948.00,885.00,51.72,48.28
29,2024-11-05 19:00:36.635882,104238.00,New_Hampshire,57060.00,54.00,47178.00,44.00,12.84,3223.00,1696.00,1527.00,52.62,47.38
30,2024-11-05 19:00:52.907216,110951.00,New_Hampshire,62802.00,56.00,48149.00,42.00,13.67,6713.00,971.00,5742.00,14.46,85.54
31,2024-11-05 19:02:57.641714,112026.00,New_Hampshire,62933.00,55.00,49093.00,43.00,13.80,1075.00,944.00,131.00,87.81,12.19
32,2024-11-05 19:03:26.312304,116685.00,New_Hampshire,65660.00,55.00,51025.00,43.00,14.38,4659.00,1932.00,2727.00,41.47,58.53
33,2024-11-05 19:08:10.156422,118820.00,New_Hampshire,66903.00,55.00,51917.00,43.00,14.69,2135.00,892.00,1243.00,41.78,58.22
34,2024-11-05 19:09:55.968702,125371.00,New_Hampshire,70606.00,55.00,54765.00,43.00,15.51,6551.00,2848.00,3703.00,43.47,56.53
35,2024-11-05 19:11:51.224161,127393.00,New_Hampshire,71494.00,55.00,55899.00,43.00,15.76,2022.00,1134.00,888.00,56.08,43.92
36,2024-11-05 19:14:11.989626,127404.00,New_Hampshire,71502.00,55.00,55902.00,43.00,15.75,11.00,3.00,8.00,27.27,72.73
37,2024-11-05 19:15:13.991598,129871.00,New_Hampshire,72830.00,55.00,57041.00,43.00,16.06,2467.00,1139.00,1328.00,46.17,53.83
38,2024-11-05 19:16:14.060814,130415.00,New_Hampshire,73091.00,55.00,57324.00,43.00,16.13,544.00,283.00,261.00,52.02,47.98
39,2024-11-05 19:19:36.667348,135562.00,New_Hampshire,75514.00,55.00,60048.00,43.00,16.76,5147.00,2724.00,2423.00,52.92,47.08
40,2024-11-05 19:20:31.877430,138121.00,New_Hampshire,77117.00,55.00,61004.00,43.00,17.08,2559.00,956.00,1603.00,37.36,62.64
41,2024-11-05 19:21:09.744061,140680.00,New_Hampshire,78720.00,55.00,61960.00,43.00,17.39,2559.00,956.00,1603.00,37.36,62.64
42,2024-11-05 19:21:57.138186,144850.00,New_Hampshire,80854.00,55.00,63996.00,43.00,17.85,4170.00,2036.00,2134.00,48.82,51.18
43,2024-11-05 19:26:04.946099,147290.00,New_Hampshire,82098.00,55.00,65192.00,43.00,18.16,2440.00,1196.00,1244.00,49.02,50.98
44,2024-11-05 19:26:43.175578,150489.00,New_Hampshire,83372.00,54.00,67117.00,44.00,18.55,3199.00,1925.00,1274.00,60.18,39.82
45,2024-11-05 19:27:46.851383,153762.00,New_Hampshire,84753.00,54.00,69009.00,44.00,18.96,3273.00,1892.00,1381.00,57.81,42.19
46,2024-11-05 19:28:51.505850,156859.00,New_Hampshire,87121.00,54.00,69738.00,43.00,19.34,3097.00,729.00,2368.00,23.54,76.46
47,2024-11-05 19:30:06.058437,165097.00,New_Hampshire,91621.00,54.00,73476.00,44.00,20.35,8238.00,3738.00,4500.00,45.38,54.62
48,2024-11-05 19:30:25.503431,168000.00,New_Hampshire,92930.00,54.00,75070.00,44.00,20.71,2903.00,1594.00,1309.00,54.91,45.09
49,2024-11-05 19:31:08.975776,174107.00,New_Hampshire,96102.00,54.00,78005.00,44.00,21.46,6107.00,2935.00,3172.00,48.06,51.94
50,2024-11-05 19:31:33.571017,177185.00,New_Hampshire,97340.00,54.00,79845.00,44.00,21.84,3078.00,1840.00,1238.00,59.78,40.22
51,2024-11-05 19:32:00.976135,182723.00,New_Hampshire,100663.00,54.00,82060.00,44.00,22.52,5538.00,2215.00,3323.00,40.00,60.00
52,2024-11-05 19:32:45.711859,187999.00,New_Hampshire,103708.00,54.00,84291.00,44.00,23.17,5276.00,2231.00,3045.00,42.29,57.71
53,2024-11-05 19:33:35.690397,190803.00,New_Hampshire,105556.00,54.00,85247.00,44.00,23.52,2804.00,956.00,1848.00,34.09,65.91
54,2024-11-05 19:33:59.972294,200487.00,New_Hampshire,109970.00,54.00,90517.00,44.00,24.71,9684.00,5270.00,4414.00,54.42,45.58
55,2024-11-05 19:34:36.313606,200493.00,New_Hampshire,109970.00,54.00,90523.00,44.00,24.71,6.00,6.00,0.00,100.00,0.00
56,2024-11-05 19:35:04.264851,203093.00,New_Hampshire,111111.00,54.00,91982.00,44.00,25.03,2600.00,1459.00,1141.00,56.12,43.88
57,2024-11-05 19:36:56.186535,206888.00,New_Hampshire,113093.00,54.00,93795.00,44.00,25.50,3795.00,1813.00,1982.00,47.77,52.23
58,2024-11-05 19:37:41.020128,208046.00,New_Hampshire,113695.00,54.00,94351.00,44.00,25.63,1158.00,556.00,602.00,48.01,51.99
59,2024-11-05 19:38:05.214553,209486.00,New_Hampshire,114333.00,54.00,95153.00,44.00,25.81,1440.00,802.00,638.00,55.69,44.31
60,2024-11-05 19:39:34.959745,210100.00,New_Hampshire,114634.00,53.00,95466.00,44.00,25.89,614.00,313.00,301.00,50.98,49.02
61,2024-11-05 19:39:57.237719,213035.00,New_Hampshire,116076.00,53.00,96959.00,45.00,26.25,2935.00,1493.00,1442.00,50.87,49.13
62,2024-11-05 19:40:13.807439,214217.00,New_Hampshire,117258.00,54.00,96959.00,44.00,26.39,1182.00,0.00,1182.00,0.00,100.00
63,2024-11-05 19:41:06.076519,216562.00,New_Hampshire,118605.00,54.00,97957.00,44.00,26.68,2345.00,998.00,1347.00,42.56,57.44
64,2024-11-05 19:42:33.699672,218237.00,New_Hampshire,119370.00,54.00,98867.00,44.00,26.89,1675.00,910.00,765.00,54.33,45.67
65,2024-11-05 19:44:48.639657,224043.00,New_Hampshire,122674.00,54.00,101369.00,44.00,27.60,5806.00,2502.00,3304.00,43.09,56.91
66,2024-11-05 19:45:21.089591,227452.00,New_Hampshire,124654.00,54.00,102798.00,44.00,28.02,3409.00,1429.00,1980.00,41.92,58.08
67,2024-11-05 19:49:04.254717,232544.00,New_Hampshire,127576.00,54.00,104968.00,44.00,28.66,5092.00,2170.00,2922.00,42.62,57.38
68,2024-11-05 19:50:54.034137,236205.00,New_Hampshire,128924.00,54.00,107281.00,44.00,29.10,3661.00,2313.00,1348.00,63.18,36.82
69,2024-11-05 19:52:17.531532,239534.00,New_Hampshire,130834.00,54.00,108700.00,44.00,29.51,3329.00,1419.00,1910.00,42.63,57.37
70,2024-11-05 19:53:14.818840,242882.00,New_Hampshire,132861.00,54.00,110021.00,44.00,29.93,3348.00,1321.00,2027.00,39.46,60.54
71,2024-11-05 19:54:24.412889,245708.00,New_Hampshire,134982.00,54.00,110726.00,44.00,30.27,2826.00,705.00,2121.00,24.95,75.05
72,2024-11-05 19:55:45.764229,248365.00,New_Hampshire,136640.00,54.00,111725.00,44.00,30.60,2657.00,999.00,1658.00,37.60,62.40
73,2024-11-05 19:56:07.335872,248411.00,New_Hampshire,136661.00,54.00,111750.00,44.00,30.61,46.00,25.00,21.00,54.35,45.65
74,2024-11-05 19:56:28.647201,256260.00,New_Hampshire,141227.00,54.00,115033.00,44.00,31.58,7849.00,3283.00,4566.00,41.83,58.17
75,2024-11-05 19:59:48.333117,257356.00,New_Hampshire,141842.00,54.00,115514.00,44.00,31.71,1096.00,481.00,615.00,43.89,56.11
76,2024-11-05 20:00:48.151409,259869.00,New_Hampshire,143120.00,54.00,116749.00,44.00,32.02,2513.00,1235.00,1278.00,49.14,50.86
77,2024-11-05 20:01:18.457816,262224.00,New_Hampshire,144679.00,54.00,117545.00,44.00,32.31,2355.00,796.00,1559.00,33.80,66.20
78,2024-11-05 20:02:12.256627,268212.00,New_Hampshire,147104.00,54.00,121108.00,44.00,33.05,5988.00,3563.00,2425.00,59.50,40.50
79,2024-11-05 20:03:59.916646,272183.00,New_Hampshire,149028.00,54.00,123155.00,44.00,33.53,3971.00,2047.00,1924.00,51.55,48.45
80,2024-11-05 20:04:15.951993,274930.00,New_Hampshire,150496.00,54.00,124434.00,44.00,33.87,2747.00,1279.00,1468.00,46.56,53.44
81,2024-11-05 20:06:40.177901,279193.00,New_Hampshire,153448.00,54.00,125745.00,44.00,34.40,4263.00,1311.00,2952.00,30.75,69.25
82,2024-11-05 20:08:15.504642,283902.00,New_Hampshire,156263.00,54.00,127639.00,44.00,34.98,4709.00,1894.00,2815.00,40.22,59.78
83,2024-11-05 20:10:17.549929,288443.00,New_Hampshire,158875.00,54.00,129568.00,44.00,35.54,4541.00,1929.00,2612.00,42.48,57.52
84,2024-11-05 20:15:41.581796,290732.00,New_Hampshire,159882.00,54.00,130850.00,44.00,35.81,2289.00,1282.00,1007.00,56.01,43.99
85,2024-11-05 20:19:11.059684,291655.00,New_Hampshire,160326.00,54.00,131329.00,44.00,35.93,923.00,479.00,444.00,51.90,48.10
86,2024-11-05 20:20:50.078340,295959.00,New_Hampshire,162697.00,54.00,133262.00,44.00,36.46,4304.00,1933.00,2371.00,44.91,55.09
87,2024-11-05 20:22:43.675754,299342.00,New_Hampshire,164760.00,54.00,134582.00,44.00,36.87,3383.00,1320.00,2063.00,39.02,60.98
88,2024-11-05 20:23:08.752569,301061.00,New_Hampshire,165568.00,54.00,135493.00,44.00,37.08,1719.00,911.00,808.00,53.00,47.00
89,2024-11-05 20:23:50.285409,302483.00,New_Hampshire,166143.00,54.00,136340.00,44.00,37.27,1422.00,847.00,575.00,59.56,40.44
90,2024-11-05 20:25:21.265248,303829.00,New_Hampshire,166732.00,54.00,137097.00,44.00,37.58,1346.00,757.00,589.00,56.24,43.76
91,2024-11-05 20:25:41.855722,305260.00,New_Hampshire,167533.00,54.00,137727.00,44.00,37.76,1431.00,630.00,801.00,44.03,55.97
92,2024-11-05 20:28:22.692806,306494.00,New_Hampshire,168033.00,54.00,138461.00,44.00,37.91,1234.00,734.00,500.00,59.48,40.52
93,2024-11-05 20:30:03.396451,311695.00,New_Hampshire,170616.00,54.00,141079.00,44.00,38.55,5201.00,2618.00,2583.00,50.34,49.66
94,2024-11-05 20:59:43.218810,388054.00,New_Hampshire,208283.00,53.00,179771.00,45.00,48.02,76359.00,38692.00,37667.00,50.67,49.33
95,2024-11-05 21:00:32.582562,390734.00,New_Hampshire,210288.00,53.00,180446.00,45.00,48.35,2680.00,675.00,2005.00,25.19,74.81
96,2024-11-05 21:00:58.282810,393318.00,New_Hampshire,211593.00,53.00,181725.00,45.00,48.67,2584.00,1279.00,1305.00,49.50,50.50
97,2024-11-05 21:02:11.108795,393511.00,New_Hampshire,211655.00,53.00,181856.00,45.00,48.70,193.00,131.00,62.00,67.88,32.12
98,2024-11-05 21:02:36.933841,393534.00,New_Hampshire,211671.00,53.00,181863.00,45.00,48.70,23.00,7.00,16.00,30.43,69.57
99,2024-11-05 21:03:48.380669,397017.00,New_Hampshire,212934.00,53.00,184083.00,45.00,49.13,3483.00,2220.00,1263.00,63.74,36.26
100,2024-11-05 21:04:14.093181,397503.00,New_Hampshire,213257.00,53.00,184246.00,45.00,49.19,486.00,163.00,323.00,33.54,66.46
101,2024-11-05 21:05:07.872167,397939.00,New_Hampshire,213358.00,53.00,184581.00,45.00,49.24,436.00,335.00,101.00,76.83,23.17
102,2024-11-05 21:05:27.217459,398124.00,New_Hampshire,213415.00,53.00,184709.00,45.00,49.27,185.00,128.00,57.00,69.19,30.81
103,2024-11-05 21:05:49.555812,399365.00,New_Hampshire,214042.00,53.00,185323.00,45.00,49.42,1241.00,614.00,627.00,49.48,50.52
104,2024-11-05 21:08:25.596034,401389.00,New_Hampshire,215192.00,53.00,186197.00,45.00,49.67,2024.00,874.00,1150.00,43.18,56.82
105,2024-11-05 21:11:30.706673,403537.00,New_Hampshire,216127.00,52.00,187410.00,45.00,49.94,2148.00,1213.00,935.00,56.47,43.53
106,2024-11-05 21:12:12.847627,403769.00,New_Hampshire,216240.00,52.00,187529.00,45.00,49.96,232.00,119.00,113.00,51.29,48.71
107,2024-11-05 21:12:38.823807,404391.00,New_Hampshire,216511.00,52.00,187880.00,45.00,50.04,622.00,351.00,271.00,56.43,43.57
108,2024-11-05 21:13:00.053799,404464.00,New_Hampshire,216548.00,52.00,187916.00,45.00,50.05,73.00,36.00,37.00,49.32,50.68
109,2024-11-05 21:13:24.514897,404886.00,New_Hampshire,216743.00,52.00,188143.00,45.00,50.10,422.00,227.00,195.00,53.79,46.21
110,2024-11-05 21:13:41.230129,407804.00,New_Hampshire,217820.00,52.00,189984.00,46.00,50.46,2918.00,1841.00,1077.00,63.09,36.91
111,2024-11-05 21:14:00.930329,409450.00,New_Hampshire,218568.00,52.00,190882.00,46.00,50.67,1646.00,898.00,748.00,54.56,45.44
112,2024-11-05 21:14:23.104368,414216.00,New_Hampshire,220953.00,52.00,193263.00,46.00,51.25,4766.00,2381.00,2385.00,49.96,50.04
113,2024-11-05 21:14:42.863751,416062.00,New_Hampshire,221976.00,52.00,194086.00,46.00,51.48,1846.00,823.00,1023.00,44.58,55.42
114,2024-11-05 21:15:29.589049,420112.00,New_Hampshire,224016.00,52.00,196096.00,46.00,51.98,4050.00,2010.00,2040.00,49.63,50.37
115,2024-11-05 21:16:15.870597,422010.00,New_Hampshire,224985.00,52.00,197025.00,46.00,52.22,1898.00,929.00,969.00,48.95,51.05
116,2024-11-05 21:16:36.493828,424301.00,New_Hampshire,225835.00,52.00,198466.00,46.00,52.50,2291.00,1441.00,850.00,62.90,37.10
117,2024-11-05 21:17:24.519679,425438.00,New_Hampshire,226273.00,52.00,199165.00,46.00,52.64,1137.00,699.00,438.00,61.48,38.52
118,2024-11-05 21:23:01.910582,441661.00,New_Hampshire,233005.00,52.00,208656.00,46.00,54.63,16223.00,9491.00,6732.00,58.50,41.50
119,2024-11-05 21:24:30.891038,442130.00,New_Hampshire,233246.00,52.00,208884.00,46.00,54.65,469.00,228.00,241.00,48.61,51.39
120,2024-11-05 21:31:34.395809,460668.00,New_Hampshire,243290.00,52.00,217378.00,46.00,56.94,18538.00,8494.00,10044.00,45.82,54.18
121,2024-11-05 21:34:39.289891,460725.00,New_Hampshire,243338.00,52.00,217387.00,46.00,56.88,57.00,9.00,48.00,15.79,84.21
122,2024-11-05 21:35:29.038173,460746.00,New_Hampshire,243348.00,52.00,217398.00,46.00,56.88,21.00,11.00,10.00,52.38,47.62
123,2024-11-05 21:35:46.855016,464930.00,New_Hampshire,244916.00,52.00,220014.00,46.00,57.39,4184.00,2616.00,1568.00,62.52,37.48
124,2024-11-05 21:36:40.256663,465344.00,New_Hampshire,245044.00,52.00,220300.00,46.00,57.44,414.00,286.00,128.00,69.08,30.92
125,2024-11-05 21:39:55.789799,482947.00,New_Hampshire,252774.00,51.00,230173.00,47.00,59.59,17603.00,9873.00,7730.00,56.09,43.91
126,2024-11-05 21:40:11.533309,483327.00,New_Hampshire,252940.00,51.00,230387.00,47.00,59.63,380.00,214.00,166.00,56.32,43.68
127,2024-11-05 21:41:37.288234,483673.00,New_Hampshire,253085.00,51.00,230588.00,47.00,59.68,346.00,201.00,145.00,58.09,41.91
128,2024-11-05 21:43:18.262165,484664.00,New_Hampshire,253466.00,51.00,231198.00,47.00,59.79,991.00,610.00,381.00,61.55,38.45
129,2024-11-05 21:44:11.732314,484984.00,New_Hampshire,253659.00,51.00,231325.00,47.00,59.83,320.00,127.00,193.00,39.69,60.31
130,2024-11-05 21:44:29.323506,493726.00,New_Hampshire,257813.00,51.00,235913.00,47.00,60.89,8742.00,4588.00,4154.00,52.48,47.52
131,2024-11-05 21:45:47.942144,494568.00,New_Hampshire,258254.00,51.00,236314.00,47.00,61.00,842.00,401.00,441.00,47.62,52.38
132,2024-11-05 21:46:40.590113,498696.00,New_Hampshire,260890.00,51.00,237806.00,47.00,61.49,4128.00,1492.00,2636.00,36.14,63.86
133,2024-11-05 21:49:13.567151,498828.00,New_Hampshire,260920.00,51.00,237908.00,47.00,61.44,132.00,102.00,30.00,77.27,22.73
134,2024-11-05 21:50:51.235622,500498.00,New_Hampshire,261828.00,51.00,238670.00,47.00,61.65,1670.00,762.00,908.00,45.63,54.37
135,2024-11-05 21:51:39.342723,502220.00,New_Hampshire,262803.00,51.00,239417.00,47.00,61.86,1722.00,747.00,975.00,43.38,56.62
136,2024-11-05 21:52:41.683983,503416.00,New_Hampshire,263472.00,51.00,239944.00,47.00,62.00,1196.00,527.00,669.00,44.06,55.94
137,2024-11-05 21:56:30.782573,506215.00,New_Hampshire,265474.00,51.00,240741.00,47.00,62.35,2799.00,797.00,2002.00,28.47,71.53
138,2024-11-05 22:00:04.937763,507438.00,New_Hampshire,266524.00,51.00,240914.00,46.00,62.40,1223.00,173.00,1050.00,14.15,85.85
139,2024-11-05 22:02:56.095789,510273.00,New_Hampshire,267567.00,51.00,242706.00,47.00,62.75,2835.00,1792.00,1043.00,63.21,36.79
140,2024-11-05 22:03:24.271211,510691.00,New_Hampshire,267822.00,51.00,242869.00,47.00,62.80,418.00,163.00,255.00,39.00,61.00
141,2024-11-05 22:04:02.576674,511300.00,New_Hampshire,268085.00,51.00,243215.00,47.00,62.88,609.00,346.00,263.00,56.81,43.19
142,2024-11-05 22:04:22.169100,514919.00,New_Hampshire,269881.00,51.00,245038.00,47.00,63.32,3619.00,1823.00,1796.00,50.37,49.63
143,2024-11-05 22:04:49.726722,517926.00,New_Hampshire,271098.00,51.00,246828.00,47.00,63.69,3007.00,1790.00,1217.00,59.53,40.47
144,2024-11-05 22:05:42.401504,522394.00,New_Hampshire,273538.00,51.00,248856.00,47.00,64.23,4468.00,2028.00,2440.00,45.39,54.61
145,2024-11-05 22:06:53.945466,523465.00,New_Hampshire,274069.00,51.00,249396.00,47.00,64.37,1071.00,540.00,531.00,50.42,49.58
146,2024-11-05 22:09:51.505585,523757.00,New_Hampshire,274225.00,51.00,249532.00,47.00,64.40,292.00,136.00,156.00,46.58,53.42
147,2024-11-05 22:11:12.752131,524352.00,New_Hampshire,274380.00,51.00,249972.00,47.00,64.47,595.00,440.00,155.00,73.95,26.05
148,2024-11-05 22:11:57.918626,524823.00,New_Hampshire,274542.00,51.00,250281.00,47.00,64.53,471.00,309.00,162.00,65.61,34.39
149,2024-11-05 22:13:13.895264,527311.00,New_Hampshire,275668.00,51.00,251643.00,47.00,64.84,2488.00,1362.00,1126.00,54.74,45.26
150,2024-11-05 22:15:28.935421,528152.00,New_Hampshire,276223.00,51.00,251929.00,47.00,64.94,841.00,286.00,555.00,34.01,65.99
151,2024-11-05 22:15:46.834794,533130.00,New_Hampshire,278553.00,51.00,254577.00,47.00,65.55,4978.00,2648.00,2330.00,53.19,46.81
152,2024-11-05 22:17:22.964149,543298.00,New_Hampshire,285336.00,51.00,257962.00,46.00,66.80,10168.00,3385.00,6783.00,33.29,66.71
153,2024-11-05 22:17:39.277888,543955.00,New_Hampshire,285571.00,51.00,258384.00,47.00,66.89,657.00,422.00,235.00,64.23,35.77
154,2024-11-05 22:18:37.828898,547641.00,New_Hampshire,286998.00,51.00,260643.00,47.00,67.34,3686.00,2259.00,1427.00,61.29,38.71
155,2024-11-05 22:19:43.623466,549365.00,New_Hampshire,287948.00,51.00,261417.00,47.00,67.55,1724.00,774.00,950.00,44.90,55.10
156,2024-11-05 22:23:19.381168,550129.00,New_Hampshire,288323.00,51.00,261806.00,47.00,67.64,764.00,389.00,375.00,50.92,49.08
157,2024-11-05 22:25:03.755875,573282.00,New_Hampshire,299338.00,51.00,273944.00,47.00,70.48,23153.00,12138.00,11015.00,52.43,47.57
158,2024-11-05 22:31:34.399425,573312.00,New_Hampshire,299358.00,51.00,273954.00,47.00,70.45,30.00,10.00,20.00,33.33,66.67
159,2024-11-05 22:32:04.363742,573419.00,New_Hampshire,299400.00,51.00,274019.00,47.00,70.46,107.00,65.00,42.00,60.75,39.25
160,2024-11-05 22:32:29.487087,580604.00,New_Hampshire,303544.00,51.00,277060.00,47.00,71.35,7185.00,3041.00,4144.00,42.32,57.68
161,2024-11-05 22:34:48.643995,581349.00,New_Hampshire,303832.00,51.00,277517.00,47.00,71.43,745.00,457.00,288.00,61.34,38.66
162,2024-11-05 22:35:32.067634,582911.00,New_Hampshire,304666.00,51.00,278245.00,47.00,71.62,1562.00,728.00,834.00,46.61,53.39
163,2024-11-05 22:37:22.460722,582951.00,New_Hampshire,304688.00,51.00,278263.00,47.00,71.63,40.00,18.00,22.00,45.00,55.00
164,2024-11-05 22:38:07.984584,584832.00,New_Hampshire,305701.00,51.00,279131.00,47.00,71.86,1881.00,868.00,1013.00,46.15,53.85
165,2024-11-05 22:38:34.509685,589053.00,New_Hampshire,307648.00,51.00,281405.00,47.00,72.38,4221.00,2274.00,1947.00,53.87,46.13
166,2024-11-05 22:39:26.340161,598366.00,New_Hampshire,312560.00,51.00,285806.00,47.00,73.52,9313.00,4401.00,4912.00,47.26,52.74
167,2024-11-05 22:39:52.339557,599469.00,New_Hampshire,312996.00,51.00,286473.00,47.00,73.66,1103.00,667.00,436.00,60.47,39.53
168,2024-11-05 22:42:57.572024,606856.00,New_Hampshire,316868.00,51.00,289988.00,47.00,74.57,7387.00,3515.00,3872.00,47.58,52.42
169,2024-11-05 22:49:30.871727,607151.00,New_Hampshire,316994.00,51.00,290157.00,47.00,74.60,295.00,169.00,126.00,57.29,42.71
170,2024-11-05 22:50:41.180311,608432.00,New_Hampshire,317548.00,51.00,290884.00,47.00,74.76,1281.00,727.00,554.00,56.75,43.25
171,2024-11-05 22:52:24.714844,611698.00,New_Hampshire,318482.00,51.00,293216.00,47.00,75.16,3266.00,2332.00,934.00,71.40,28.60
172,2024-11-05 22:53:20.664525,612815.00,New_Hampshire,318940.00,51.00,293875.00,47.00,75.30,1117.00,659.00,458.00,59.00,41.00
173,2024-11-05 22:54:33.397491,615146.00,New_Hampshire,320362.00,51.00,294784.00,47.00,75.59,2331.00,909.00,1422.00,39.00,61.00
174,2024-11-05 23:01:23.382604,627109.00,New_Hampshire,328036.00,51.00,299073.00,47.00,77.05,11963.00,4289.00,7674.00,35.85,64.15
175,2024-11-05 23:01:45.839884,627212.00,New_Hampshire,328091.00,51.00,299121.00,47.00,77.07,103.00,48.00,55.00,46.60,53.40
176,2024-11-05 23:02:13.473130,629283.00,New_Hampshire,329413.00,51.00,299870.00,47.00,77.32,2071.00,749.00,1322.00,36.17,63.83
177,2024-11-05 23:03:47.754269,631809.00,New_Hampshire,330673.00,51.00,301136.00,47.00,77.63,2526.00,1266.00,1260.00,50.12,49.88
178,2024-11-05 23:05:48.569203,632625.00,New_Hampshire,330970.00,51.00,301655.00,47.00,77.73,816.00,519.00,297.00,63.60,36.40
179,2024-11-05 23:06:18.546377,633179.00,New_Hampshire,331247.00,51.00,301932.00,47.00,77.80,554.00,277.00,277.00,50.00,50.00
180,2024-11-05 23:09:06.006684,634305.00,New_Hampshire,331907.00,51.00,302398.00,47.00,77.94,1126.00,466.00,660.00,41.39,58.61
