,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update,Additional_Trump_Votes_Since_Last_Update,Additional_Harris_Votes_Since_Last_Update,Pct_New_Votes_For_Trump,Pct_New_Votes_For_Harris
0,2024-11-05 13:57:33.481434,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2024-11-05 18:42:39.907675,24661.00,12221.00,48.00,12440.00,49.00,3.17,24661.00,12440.00,12221.00,50.44,49.56
2,2024-11-05 18:52:15.175789,35728.00,17467.00,48.00,18261.00,50.00,4.58,11067.00,5821.00,5246.00,52.60,47.40
3,2024-11-05 18:53:57.719795,54708.00,23177.00,41.00,31531.00,56.00,7.00,18980.00,13270.00,5710.00,69.92,30.08
4,2024-11-05 18:59:21.444174,64135.00,25926.00,39.00,38209.00,58.00,8.21,9427.00,6678.00,2749.00,70.84,29.16
5,2024-11-05 19:00:18.135014,64546.00,26139.00,39.00,38407.00,58.00,8.26,411.00,198.00,213.00,48.18,51.82
6,2024-11-05 19:00:52.907216,77612.00,29850.00,37.00,47762.00,60.00,9.93,13066.00,9355.00,3711.00,71.60,28.40
7,2024-11-05 19:01:53.417823,77811.00,29901.00,37.00,47910.00,60.00,9.96,199.00,148.00,51.00,74.37,25.63
8,2024-11-05 19:02:12.192408,83333.00,31054.00,36.00,52279.00,61.00,10.67,5522.00,4369.00,1153.00,79.12,20.88
9,2024-11-05 19:02:36.581395,84496.00,31283.00,36.00,53213.00,61.00,10.81,1163.00,934.00,229.00,80.31,19.69
10,2024-11-05 19:02:57.641714,85283.00,31509.00,36.00,53774.00,62.00,10.92,787.00,561.00,226.00,71.28,28.72
11,2024-11-05 19:04:22.608155,93354.00,33582.00,35.00,59772.00,63.00,11.95,8071.00,5998.00,2073.00,74.32,25.68
12,2024-11-05 19:13:25.598267,94720.00,34081.00,35.00,60639.00,62.00,12.13,1366.00,867.00,499.00,63.47,36.53
13,2024-11-05 19:15:13.991598,95639.00,34240.00,35.00,61399.00,63.00,12.24,919.00,760.00,159.00,82.70,17.30
14,2024-11-05 19:15:31.087408,96197.00,34324.00,35.00,61873.00,63.00,12.31,558.00,474.00,84.00,84.95,15.05
15,2024-11-05 19:16:41.059718,96719.00,34415.00,35.00,62304.00,63.00,12.38,522.00,431.00,91.00,82.57,17.43
16,2024-11-05 19:17:08.557916,109597.00,38139.00,34.00,71458.00,64.00,14.04,12878.00,9154.00,3724.00,71.08,28.92
