,Datetime_Extraction,Total_Votes,State,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update,Additional_Trump_Votes_Since_Last_Update,Additional_Harris_Votes_Since_Last_Update,Pct_New_Votes_For_Trump,Pct_New_Votes_For_Harris
0,2024-11-05 13:57:33.481434,0.00,Wyoming,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2024-11-05 20:59:43.218810,9828.00,Wyoming,4944.00,49.00,4884.00,49.00,3.27,9828.00,4884.00,4944.00,49.69,50.31
2,2024-11-05 21:13:00.053799,10815.00,Wyoming,5054.00,46.00,5761.00,52.00,3.60,987.00,877.00,110.00,88.86,11.14
3,2024-11-05 21:15:29.589049,14596.00,Wyoming,5710.00,38.00,8886.00,60.00,4.86,3781.00,3125.00,656.00,82.65,17.35
4,2024-11-05 21:15:48.639148,23329.00,Wyoming,7801.00,32.00,15528.00,65.00,7.77,8733.00,6642.00,2091.00,76.06,23.94
5,2024-11-05 21:24:30.891038,23494.00,Wyoming,7822.00,32.00,15672.00,65.00,7.82,165.00,144.00,21.00,87.27,12.73
6,2024-11-05 21:31:34.395809,24422.00,Wyoming,8043.00,32.00,16379.00,66.00,8.13,928.00,707.00,221.00,76.19,23.81
7,2024-11-05 21:40:51.801113,27056.00,Wyoming,8346.00,30.00,18710.00,68.00,9.01,2634.00,2331.00,303.00,88.50,11.50
8,2024-11-05 21:41:37.288234,31839.00,Wyoming,9193.00,28.00,22646.00,70.00,10.60,4783.00,3936.00,847.00,82.29,17.71
9,2024-11-05 21:46:56.159465,32724.00,Wyoming,9370.00,28.00,23354.00,70.00,10.90,885.00,708.00,177.00,80.00,20.00
10,2024-11-05 21:50:26.538328,36172.00,Wyoming,10552.00,28.00,25620.00,69.00,12.05,3448.00,2266.00,1182.00,65.72,34.28
11,2024-11-05 21:53:14.628578,37577.00,Wyoming,10756.00,28.00,26821.00,70.00,12.52,1405.00,1201.00,204.00,85.48,14.52
12,2024-11-05 21:56:30.782573,38446.00,Wyoming,10898.00,27.00,27548.00,70.00,12.81,869.00,727.00,142.00,83.66,16.34
13,2024-11-05 21:58:22.131342,46044.00,Wyoming,11800.00,25.00,34244.00,73.00,15.33,7598.00,6696.00,902.00,88.13,11.87
14,2024-11-05 21:59:19.385907,62313.00,Wyoming,15530.00,24.00,46783.00,73.00,20.77,16269.00,12539.00,3730.00,77.07,22.93
15,2024-11-05 22:01:14.945025,67138.00,Wyoming,16450.00,24.00,50688.00,74.00,22.38,4825.00,3905.00,920.00,80.93,19.07
16,2024-11-05 22:06:13.946713,70585.00,Wyoming,16828.00,23.00,53757.00,75.00,23.52,3447.00,3069.00,378.00,89.03,10.97
17,2024-11-05 22:07:18.356804,77186.00,Wyoming,17673.00,22.00,59513.00,75.00,25.72,6601.00,5756.00,845.00,87.20,12.80
18,2024-11-05 22:13:38.494100,83235.00,Wyoming,18829.00,22.00,64406.00,76.00,27.73,6049.00,4893.00,1156.00,80.89,19.11
19,2024-11-05 22:28:52.623269,89905.00,Wyoming,23249.00,25.00,66656.00,73.00,29.96,6670.00,2250.00,4420.00,33.73,66.27
20,2024-11-05 22:30:12.682568,91444.00,Wyoming,23352.00,25.00,68092.00,73.00,30.47,1539.00,1436.00,103.00,93.31,6.69
21,2024-11-05 22:30:38.460669,92900.00,Wyoming,23673.00,25.00,69227.00,73.00,30.95,1456.00,1135.00,321.00,77.95,22.05
22,2024-11-05 22:32:58.783838,97261.00,Wyoming,25203.00,25.00,72058.00,72.00,32.42,4361.00,2831.00,1530.00,64.92,35.08
23,2024-11-05 22:36:53.666513,98481.00,Wyoming,25315.00,25.00,73166.00,73.00,32.83,1220.00,1108.00,112.00,90.82,9.18
24,2024-11-05 22:44:36.564734,113549.00,Wyoming,31828.00,27.00,81721.00,70.00,37.85,15068.00,8555.00,6513.00,56.78,43.22
25,2024-11-05 22:45:22.450120,115545.00,Wyoming,32193.00,27.00,83352.00,71.00,38.52,1996.00,1631.00,365.00,81.71,18.29
26,2024-11-05 22:47:25.764379,118115.00,Wyoming,32681.00,27.00,85434.00,71.00,39.38,2570.00,2082.00,488.00,81.01,18.99
27,2024-11-05 22:54:33.397491,122862.00,Wyoming,33469.00,26.00,89393.00,71.00,40.97,4747.00,3959.00,788.00,83.40,16.60
28,2024-11-05 22:58:24.467419,123178.00,Wyoming,29817.00,23.00,93361.00,74.00,41.07,316.00,3968.00,-3652.00,1255.70,-1155.70
29,2024-11-05 23:07:45.074610,156182.00,Wyoming,38153.00,24.00,118029.00,74.00,52.10,33004.00,24668.00,8336.00,74.74,25.26
30,2024-11-05 23:18:40.818670,158233.00,Wyoming,38455.00,23.00,119778.00,74.00,52.78,2051.00,1749.00,302.00,85.28,14.72
31,2024-11-05 23:23:58.318202,163842.00,Wyoming,39197.00,23.00,124645.00,74.00,54.65,5609.00,4867.00,742.00,86.77,13.23
32,2024-11-05 23:29:11.311236,168813.00,Wyoming,40062.00,23.00,128751.00,75.00,56.31,4971.00,4106.00,865.00,82.60,17.40
33,2024-11-05 23:32:17.792438,180410.00,Wyoming,46051.00,25.00,134359.00,73.00,60.19,11597.00,5608.00,5989.00,48.36,51.64
34,2024-11-05 23:34:42.898984,182847.00,Wyoming,46637.00,25.00,136210.00,73.00,61.00,2437.00,1851.00,586.00,75.95,24.05
35,2024-11-05 23:45:05.362773,198881.00,Wyoming,51639.00,25.00,147242.00,72.00,66.37,16034.00,11032.00,5002.00,68.80,31.20
36,2024-11-05 23:55:16.518322,209461.00,Wyoming,53262.00,25.00,156199.00,73.00,69.90,10580.00,8957.00,1623.00,84.66,15.34
37,2024-11-06 00:13:26.742175,216718.00,Wyoming,55440.00,25.00,161278.00,73.00,73.02,7257.00,5079.00,2178.00,69.99,30.01
38,2024-11-06 00:25:12.171286,217123.00,Wyoming,55531.00,25.00,161592.00,73.00,77.29,405.00,314.00,91.00,77.53,22.47
39,2024-11-06 00:31:03.717239,226072.00,Wyoming,56312.00,24.00,169760.00,73.00,80.47,8949.00,8168.00,781.00,91.27,8.73
40,2024-11-06 02:18:08.773953,252231.00,Wyoming,65456.00,25.00,186775.00,72.00,89.76,26159.00,17015.00,9144.00,65.04,34.96
41,2024-11-06 02:36:25.240583,256406.00,Wyoming,67135.00,25.00,189271.00,72.00,91.24,4175.00,2496.00,1679.00,59.78,40.22
42,2024-11-06 03:18:37.903507,262084.00,Wyoming,69508.00,26.00,192576.00,72.00,94.35,5678.00,3305.00,2373.00,58.21,41.79
