,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update
0,2024-11-05 13:57:33.481434,0,0,0.0,0,0.0,0.0,0.0
1,2024-11-05 20:15:41.581796,36899,13615,36.0,23284,62.0,1.11,36899.0
2,2024-11-05 20:19:11.059684,86176,33206,38.0,52970,60.0,2.59,49277.0
3,2024-11-05 20:20:22.523464,103755,39903,37.0,63852,60.0,3.12,17579.0
4,2024-11-05 20:20:50.078340,112565,43815,38.0,68750,60.0,3.39,8810.0
5,2024-11-05 20:21:19.747753,131669,55420,41.0,76249,57.0,3.96,19104.0
6,2024-11-05 20:21:48.801889,134735,56339,41.0,78396,57.0,4.05,3066.0
7,2024-11-05 20:22:14.729827,153512,63597,40.0,89915,57.0,4.62,18777.0
8,2024-11-05 20:23:50.285409,156048,64693,40.0,91355,57.0,4.7,2536.0
9,2024-11-05 20:24:33.216660,167496,69575,41.0,97921,57.0,5.04,11448.0
10,2024-11-05 20:25:21.265248,200605,87456,43.0,113149,55.0,6.04,33109.0
11,2024-11-05 20:25:41.855722,215798,93180,42.0,122618,56.0,6.5,15193.0
12,2024-11-05 20:26:31.449541,240854,103559,42.0,137295,56.0,7.25,25056.0
13,2024-11-05 20:26:56.421318,247105,106512,42.0,140593,56.0,7.44,6251.0
14,2024-11-05 20:27:14.191098,247958,106721,42.0,141237,56.0,7.47,853.0
15,2024-11-05 20:27:40.156684,248521,106908,42.0,141613,56.0,7.48,563.0
16,2024-11-05 20:28:44.578019,292266,134874,45.0,157392,53.0,8.8,43745.0
17,2024-11-05 20:29:28.808859,296689,136402,45.0,160287,53.0,8.94,4423.0
18,2024-11-05 20:30:03.396451,316314,145205,45.0,171109,53.0,9.53,19625.0
19,2024-11-05 20:30:34.857113,330316,151777,45.0,178539,53.0,9.95,14002.0
20,2024-11-05 20:31:06.507418,362499,165281,44.0,197218,53.0,10.92,32183.0
21,2024-11-05 20:31:29.869970,362737,165383,44.0,197354,53.0,10.93,238.0
22,2024-11-05 20:32:18.288034,369175,168435,45.0,200740,53.0,11.12,6438.0
23,2024-11-05 20:33:08.643788,407673,195966,47.0,211707,51.0,12.28,38498.0
24,2024-11-05 20:33:50.117705,411269,197416,47.0,213853,51.0,12.39,3596.0
25,2024-11-05 20:34:09.521646,424459,202749,47.0,221710,51.0,12.79,13190.0
26,2024-11-05 20:34:30.156947,558138,287365,50.0,270773,47.0,16.84,133679.0
27,2024-11-05 20:59:43.218810,1144363,569025,48.0,575338,49.0,34.53,586225.0
28,2024-11-05 21:00:11.169387,1145895,569561,48.0,576334,49.0,34.58,1532.0
29,2024-11-05 21:00:32.582562,1152917,572108,48.0,580809,49.0,34.79,7022.0
30,2024-11-05 21:01:19.562081,1156564,574062,48.0,582502,49.0,34.9,3647.0
31,2024-11-05 21:01:43.745848,1158952,574870,48.0,584082,49.0,34.97,2388.0
32,2024-11-05 21:02:11.108795,1161601,575988,48.0,585613,49.0,35.05,2649.0
33,2024-11-05 21:02:36.933841,1164966,577355,48.0,587611,49.0,35.15,3365.0
