,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update
0,2024-11-05 13:57:33.481434,0,0,0.0,0,0.0,0.0,0.0
1,2024-11-05 20:59:43.218810,9828,4944,49.0,4884,49.0,3.27,9828.0
2,2024-11-05 21:13:00.053799,10815,5054,46.0,5761,52.0,3.6,987.0
3,2024-11-05 21:15:29.589049,14596,5710,38.0,8886,60.0,4.86,3781.0
4,2024-11-05 21:15:48.639148,23329,7801,32.0,15528,65.0,7.77,8733.0
5,2024-11-05 21:24:30.891038,23494,7822,32.0,15672,65.0,7.82,165.0
6,2024-11-05 21:31:34.395809,24422,8043,32.0,16379,66.0,8.13,928.0
7,2024-11-05 21:40:51.801113,27056,8346,30.0,18710,68.0,9.01,2634.0
8,2024-11-05 21:41:37.288234,31839,9193,28.0,22646,70.0,10.6,4783.0
9,2024-11-05 21:46:56.159465,32724,9370,28.0,23354,70.0,10.9,885.0
10,2024-11-05 21:50:26.538328,36172,10552,28.0,25620,69.0,12.05,3448.0
11,2024-11-05 21:53:14.628578,37577,10756,28.0,26821,70.0,12.52,1405.0
12,2024-11-05 21:56:30.782573,38446,10898,27.0,27548,70.0,12.81,869.0
13,2024-11-05 21:58:22.131342,46044,11800,25.0,34244,73.0,15.33,7598.0
14,2024-11-05 21:59:19.385907,62313,15530,24.0,46783,73.0,20.77,16269.0
15,2024-11-05 22:01:14.945025,67138,16450,24.0,50688,74.0,22.38,4825.0
16,2024-11-05 22:06:13.946713,70585,16828,23.0,53757,75.0,23.52,3447.0
17,2024-11-05 22:07:18.356804,77186,17673,22.0,59513,75.0,25.72,6601.0
18,2024-11-05 22:13:38.494100,83235,18829,22.0,64406,76.0,27.73,6049.0
19,2024-11-05 22:28:52.623269,89905,23249,25.0,66656,73.0,29.96,6670.0
20,2024-11-05 22:30:12.682568,91444,23352,25.0,68092,73.0,30.47,1539.0
21,2024-11-05 22:30:38.460669,92900,23673,25.0,69227,73.0,30.95,1456.0
22,2024-11-05 22:32:58.783838,97261,25203,25.0,72058,72.0,32.42,4361.0
23,2024-11-05 22:36:53.666513,98481,25315,25.0,73166,73.0,32.83,1220.0
24,2024-11-05 22:44:36.564734,113549,31828,27.0,81721,70.0,37.85,15068.0
25,2024-11-05 22:45:22.450120,115545,32193,27.0,83352,71.0,38.52,1996.0
26,2024-11-05 22:47:25.764379,118115,32681,27.0,85434,71.0,39.38,2570.0
27,2024-11-05 22:54:33.397491,122862,33469,26.0,89393,71.0,40.97,4747.0
28,2024-11-05 22:58:24.467419,123178,29817,23.0,93361,74.0,41.07,316.0
29,2024-11-05 23:07:45.074610,156182,38153,24.0,118029,74.0,52.1,33004.0
30,2024-11-05 23:18:40.818670,158233,38455,23.0,119778,74.0,52.78,2051.0
31,2024-11-05 23:23:58.318202,163842,39197,23.0,124645,74.0,54.65,5609.0
32,2024-11-05 23:29:11.311236,168813,40062,23.0,128751,75.0,56.31,4971.0
33,2024-11-05 23:32:17.792438,180410,46051,25.0,134359,73.0,60.19,11597.0
34,2024-11-05 23:34:42.898984,182847,46637,25.0,136210,73.0,61.0,2437.0
35,2024-11-05 23:45:05.362773,198881,51639,25.0,147242,72.0,66.37,16034.0
36,2024-11-05 23:55:16.518322,209461,53262,25.0,156199,73.0,69.9,10580.0
37,2024-11-06 00:13:26.742175,216718,55440,25.0,161278,73.0,73.02,7257.0
38,2024-11-06 00:25:12.171286,217123,55531,25.0,161592,73.0,77.29,405.0
39,2024-11-06 00:31:03.717239,226072,56312,24.0,169760,73.0,80.47,8949.0
40,2024-11-06 02:18:08.773953,252231,65456,25.0,186775,72.0,89.76,26159.0
41,2024-11-06 02:36:25.240583,256406,67135,25.0,189271,72.0,91.24,4175.0
42,2024-11-06 03:18:37.903507,262084,69508,26.0,192576,72.0,94.35,5678.0
