,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported
2024-11-05 12:19:36.125622,0,0,0.000,0,0.000,0.000
2024-11-05 12:19:50.841014,0,0,0.000,0,0.000,0.000
2024-11-05 12:20:09.340486,0,0,0.000,0,0.000,0.000
2024-11-05 12:20:22.880432,0,0,0.000,0,0.000,0.000
2024-11-05 12:20:39.721094,0,0,0.000,0,0.000,0.000
2024-11-05 12:20:57.184067,0,0,0.000,0,0.000,0.000
2024-11-05 12:21:20.446367,0,0,0.000,0,0.000,0.000
2024-11-05 12:21:37.290515,0,0,0.000,0,0.000,0.000
2024-11-05 12:21:55.912693,0,0,0.000,0,0.000,0.000
2024-11-05 12:22:20.263758,0,0,0.000,0,0.000,0.000
2024-11-05 12:22:35.500902,0,0,0.000,0,0.000,0.000
2024-11-05 12:22:58.260372,0,0,0.000,0,0.000,0.000
2024-11-05 12:23:22.474159,0,0,0.000,0,0.000,0.000
2024-11-05 12:23:46.838897,0,0,0.000,0,0.000,0.000
2024-11-05 12:24:03.755143,0,0,0.000,0,0.000,0.000
2024-11-05 12:24:18.741052,0,0,0.000,0,0.000,0.000
2024-11-05 12:24:32.983330,0,0,0.000,0,0.000,0.000
2024-11-05 12:24:52.968726,0,0,0.000,0,0.000,0.000
2024-11-05 12:25:13.711244,0,0,0.000,0,0.000,0.000
2024-11-05 12:25:28.795749,0,0,0.000,0,0.000,0.000
2024-11-05 12:25:43.837370,0,0,0.000,0,0.000,0.000
2024-11-05 12:25:56.493408,0,0,0.000,0,0.000,0.000
2024-11-05 12:26:19.209841,0,0,0.000,0,0.000,0.000
2024-11-05 12:26:34.291695,0,0,0.000,0,0.000,0.000
2024-11-05 12:26:53.900789,0,0,0.000,0,0.000,0.000
2024-11-05 12:27:14.563658,0,0,0.000,0,0.000,0.000
2024-11-05 12:27:37.707933,0,0,0.000,0,0.000,0.000
2024-11-05 12:28:01.453810,0,0,0.000,0,0.000,0.000
2024-11-05 12:28:25.368770,0,0,0.000,0,0.000,0.000
2024-11-05 12:28:38.763145,0,0,0.000,0,0.000,0.000
2024-11-05 12:29:02.216325,0,0,0.000,0,0.000,0.000
2024-11-05 12:29:21.447242,0,0,0.000,0,0.000,0.000
2024-11-05 12:29:37.135521,0,0,0.000,0,0.000,0.000
2024-11-05 12:29:49.390663,0,0,0.000,0,0.000,0.000
2024-11-05 12:30:12.794907,0,0,0.000,0,0.000,0.000
2024-11-05 12:30:25.624227,0,0,0.000,0,0.000,0.000
2024-11-05 12:30:42.175887,0,0,0.000,0,0.000,0.000
2024-11-05 12:30:55.955854,0,0,0.000,0,0.000,0.000
2024-11-05 12:31:09.227694,0,0,0.000,0,0.000,0.000
2024-11-05 12:31:28.070192,0,0,0.000,0,0.000,0.000
2024-11-05 12:31:50.314151,0,0,0.000,0,0.000,0.000
2024-11-05 12:32:06.752904,0,0,0.000,0,0.000,0.000
2024-11-05 12:32:18.571327,0,0,0.000,0,0.000,0.000
2024-11-05 12:32:43.533521,0,0,0.000,0,0.000,0.000
2024-11-05 12:32:57.549538,0,0,0.000,0,0.000,0.000
2024-11-05 12:33:22.783,0,0,0.000,0,0.000,0.000
2024-11-05 12:33:44.182678,0,0,0.000,0,0.000,0.000
2024-11-05 12:33:57.745014,0,0,0.000,0,0.000,0.000
2024-11-05 12:34:18.641768,0,0,0.000,0,0.000,0.000
2024-11-05 12:34:39.717422,0,0,0.000,0,0.000,0.000
2024-11-05 12:34:53.451684,0,0,0.000,0,0.000,0.000
2024-11-05 12:35:07.332982,0,0,0.000,0,0.000,0.000
2024-11-05 12:35:29.842931,0,0,0.000,0,0.000,0.000
2024-11-05 12:35:53.941550,0,0,0.000,0,0.000,0.000
2024-11-05 12:36:10.256592,0,0,0.000,0,0.000,0.000
2024-11-05 12:36:31.910067,0,0,0.000,0,0.000,0.000
2024-11-05 12:36:54.416875,0,0,0.000,0,0.000,0.000
2024-11-05 12:37:07.578337,0,0,0.000,0,0.000,0.000
2024-11-05 12:37:32.027160,0,0,0.000,0,0.000,0.000
2024-11-05 12:37:55.273766,0,0,0.000,0,0.000,0.000
2024-11-05 12:38:11.122435,0,0,0.000,0,0.000,0.000
2024-11-05 12:38:30.420296,0,0,0.000,0,0.000,0.000
2024-11-05 12:38:46.621060,0,0,0.000,0,0.000,0.000
2024-11-05 12:39:00.318982,0,0,0.000,0,0.000,0.000
2024-11-05 12:39:17.222498,0,0,0.000,0,0.000,0.000
2024-11-05 12:39:29.175784,0,0,0.000,0,0.000,0.000
2024-11-05 12:39:52.353809,0,0,0.000,0,0.000,0.000
2024-11-05 12:40:17.579447,0,0,0.000,0,0.000,0.000
2024-11-05 12:40:31.556173,0,0,0.000,0,0.000,0.000
2024-11-05 12:40:55.519489,0,0,0.000,0,0.000,0.000
2024-11-05 12:41:08.290868,0,0,0.000,0,0.000,0.000
2024-11-05 12:41:22.027536,0,0,0.000,0,0.000,0.000
2024-11-05 12:41:45.854621,0,0,0.000,0,0.000,0.000
2024-11-05 12:42:01.835682,0,0,0.000,0,0.000,0.000
2024-11-05 12:42:15.649200,0,0,0.000,0,0.000,0.000
2024-11-05 12:42:38.476006,0,0,0.000,0,0.000,0.000
2024-11-05 12:42:55.571258,0,0,0.000,0,0.000,0.000
2024-11-05 12:43:18.626451,0,0,0.000,0,0.000,0.000
2024-11-05 12:43:31.804292,0,0,0.000,0,0.000,0.000
2024-11-05 12:43:49.488404,0,0,0.000,0,0.000,0.000
2024-11-05 12:44:02.069157,0,0,0.000,0,0.000,0.000
2024-11-05 12:44:21.193693,0,0,0.000,0,0.000,0.000
2024-11-05 12:44:38.958415,0,0,0.000,0,0.000,0.000
2024-11-05 12:45:02.959979,0,0,0.000,0,0.000,0.000
2024-11-05 12:45:25.351765,0,0,0.000,0,0.000,0.000
2024-11-05 12:45:44.287240,0,0,0.000,0,0.000,0.000
2024-11-05 12:46:03.403748,0,0,0.000,0,0.000,0.000
2024-11-05 12:46:15.641038,0,0,0.000,0,0.000,0.000
2024-11-05 12:46:30.160797,0,0,0.000,0,0.000,0.000
2024-11-05 12:46:51.388034,0,0,0.000,0,0.000,0.000
2024-11-05 12:47:06.795591,0,0,0.000,0,0.000,0.000
2024-11-05 12:47:19.792133,0,0,0.000,0,0.000,0.000
2024-11-05 12:47:34.242077,0,0,0.000,0,0.000,0.000
2024-11-05 12:47:49.033550,0,0,0.000,0,0.000,0.000
2024-11-05 12:48:07.179414,0,0,0.000,0,0.000,0.000
2024-11-05 12:48:30.418343,0,0,0.000,0,0.000,0.000
