,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported
2024-11-05 13:50:25.903038,0,0,0.000,0,0.000,0.000
2024-11-05 13:50:46.610696,0,0,0.000,0,0.000,0.000
2024-11-05 13:50:58.752282,0,0,0.000,0,0.000,0.000
2024-11-05 13:51:21.636672,0,0,0.000,0,0.000,0.000
2024-11-05 13:51:47.165921,0,0,0.000,0,0.000,0.000
2024-11-05 13:52:07.125789,0,0,0.000,0,0.000,0.000
2024-11-05 13:52:31.791088,0,0,0.000,0,0.000,0.000
2024-11-05 13:52:54.382660,0,0,0.000,0,0.000,0.000
2024-11-05 13:53:17.602426,0,0,0.000,0,0.000,0.000
2024-11-05 13:53:30.613511,0,0,0.000,0,0.000,0.000
2024-11-05 13:53:53.339009,0,0,0.000,0,0.000,0.000
2024-11-05 13:54:11.937167,0,0,0.000,0,0.000,0.000
2024-11-05 13:54:36.831913,0,0,0.000,0,0.000,0.000
2024-11-05 13:54:50.091988,0,0,0.000,0,0.000,0.000
2024-11-05 13:55:02.791255,0,0,0.000,0,0.000,0.000
2024-11-05 13:55:24.588034,0,0,0.000,0,0.000,0.000
2024-11-05 13:55:47.642723,0,0,0.000,0,0.000,0.000
2024-11-05 13:56:11.790547,0,0,0.000,0,0.000,0.000
2024-11-05 13:56:28.473039,0,0,0.000,0,0.000,0.000
2024-11-05 13:56:52.484925,0,0,0.000,0,0.000,0.000
2024-11-05 13:57:11.719844,0,0,0.000,0,0.000,0.000
2024-11-05 13:57:29.192029,0,0,0.000,0,0.000,0.000
2024-11-05 13:57:50.193313,0,0,0.000,0,0.000,0.000
2024-11-05 13:58:10.964399,0,0,0.000,0,0.000,0.000
2024-11-05 13:58:33.776107,0,0,0.000,0,0.000,0.000
2024-11-05 13:58:51.415803,0,0,0.000,0,0.000,0.000
2024-11-05 13:59:12.763676,0,0,0.000,0,0.000,0.000
