,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported
2024-11-05 21:46:15.304790,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:46:43.351523,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:47:04.708667,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:47:34.426877,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:48:05.313003,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:48:29.427144,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:48:54.906295,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:49:15.388549,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:49:37.049858,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:50:04.902059,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:50:38.531598,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:51:01.698254,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:51:27.534175,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:51:49.445613,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:52:16.589662,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:52:47.238105,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:53:11.813953,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:53:45.925790,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:54:12.864126,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:54:36.136938,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:55:03.983506,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:55:30.617301,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:55:51.779014,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:56:15.152684,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:56:35.190680,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:57:04.998809,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:57:25.825367,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:57:44.355439,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:58:12.963168,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:58:41.609186,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:59:14.501719,7479,2140,28.600,5255,70.300,95.000
2024-11-05 21:59:36.719845,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:00:02.005042,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:00:30.067691,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:00:51.357487,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:01:12.936478,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:01:37.594139,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:02:02.072591,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:02:22.618296,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:02:50.997311,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:03:13.446748,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:03:43.907141,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:04:06.561276,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:04:35.186982,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:05:06.315828,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:05:35.447226,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:05:53.523738,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:06:15.468266,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:06:38.973847,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:07:03.893530,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:07:36.424894,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:08:02.426598,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:08:25.953608,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:08:53.396128,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:09:15.793272,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:09:45.654019,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:10:19.384481,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:10:39.969376,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:11:13.661517,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:11:38.841687,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:12:09.968076,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:12:31.622481,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:12:59.671440,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:13:31.512903,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:13:59.564844,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:14:26.104539,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:14:46.220714,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:15:03.590264,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:15:25.727249,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:15:54.277486,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:16:12.973736,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:16:32.323653,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:16:54.199731,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:17:16.559921,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:17:34.538923,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:18:03.681755,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:18:33.166304,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:19:04.756285,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:19:31.712841,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:19:55.142884,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:20:29.862197,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:20:52.741027,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:21:24.971242,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:21:54.159699,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:22:29.619476,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:22:55.087709,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:23:20.019869,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:23:52.380927,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:24:24.459703,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:24:57.920115,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:25:29.536374,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:26:00.443392,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:26:32.907953,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:26:58.851753,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:27:30.132738,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:28:02.819823,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:28:33.833804,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:29:02.246878,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:29:27.846394,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:29:49.977255,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:30:10.486010,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:30:33.726519,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:31:01.367793,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:31:28.736158,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:31:58.470095,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:32:22.425631,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:32:59.762108,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:33:22.275435,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:33:47.198892,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:34:06.208843,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:34:30.783423,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:34:57.761202,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:35:21.183632,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:35:49.860262,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:36:19.229624,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:36:39.012349,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:36:59.877812,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:37:28.514612,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:38:01.231107,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:38:33.732924,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:38:59.114915,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:39:29.357321,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:39:55.650972,7479,2140,28.600,5255,70.300,95.000
2024-11-05 22:40:29.440385,7479,2140,28.600,5255,70.300,95.000
