,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:13:08.318579,Harris,53.7,521852,Trump,44.3,430930,100
2024-10-07 13:13:13.513035,Harris,53.7,521852,Trump,44.3,430930,100
2024-10-07 13:13:18.504647,Harris,53.7,521852,Trump,44.3,430930,100
2024-10-07 13:13:22.709850,Harris,53.7,521852,Trump,44.3,430930,100
2024-10-07 13:13:27.138656,Harris,53.7,521852,Trump,44.3,430930,100
2024-10-07 13:13:31.597301,Harris,53.7,521852,Trump,44.3,430930,100
2024-10-07 13:13:36.400377,Harris,53.7,521852,Trump,44.3,430930,100
2024-10-07 13:13:40.926042,Harris,53.7,521852,Trump,44.3,430930,100
2024-10-07 13:13:46.012421,Harris,53.7,521852,Trump,44.3,430930,100
2024-10-07 13:13:51.313015,Harris,53.7,521852,Trump,44.3,430930,100
