,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:13:08.334210,Trump,63.4,21630,Harris,33.9,11571,100
2024-10-07 13:13:13.513035,Trump,63.4,21630,Harris,33.9,11571,100
2024-10-07 13:13:18.504647,Trump,63.4,21630,Harris,33.9,11571,100
2024-10-07 13:13:22.712054,Trump,63.4,21630,Harris,33.9,11571,100
2024-10-07 13:13:27.147443,Trump,63.4,21630,Harris,33.9,11571,100
2024-10-07 13:13:31.613129,Trump,63.4,21630,Harris,33.9,11571,100
2024-10-07 13:13:36.403375,Trump,63.4,21630,Harris,33.9,11571,100
2024-10-07 13:13:40.928043,Trump,63.4,21630,Harris,33.9,11571,100
2024-10-07 13:13:46.012421,Trump,63.4,21630,Harris,33.9,11571,100
2024-10-07 13:13:51.328646,Trump,63.4,21630,Harris,33.9,11571,100
