,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:13:08.334210,Trump,82.1,400,Harris,15.2,74,100
2024-10-07 13:13:13.513035,Trump,82.1,400,Harris,15.2,74,100
2024-10-07 13:13:18.520276,Trump,82.1,400,Harris,15.2,74,100
2024-10-07 13:13:22.712054,Trump,82.1,400,Harris,15.2,74,100
2024-10-07 13:13:27.153045,Trump,82.1,400,Harris,15.2,74,100
2024-10-07 13:13:31.614356,Trump,82.1,400,Harris,15.2,74,100
2024-10-07 13:13:36.408375,Trump,82.1,400,Harris,15.2,74,100
2024-10-07 13:13:40.928043,Trump,82.1,400,Harris,15.2,74,100
2024-10-07 13:13:46.028396,Trump,82.1,400,Harris,15.2,74,100
2024-10-07 13:13:51.339094,Trump,82.1,400,Harris,15.2,74,100
