,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:13:08.365469,Trump,60.9,1423,Harris,35.5,829,100
2024-10-07 13:13:13.544684,Trump,60.9,1423,Harris,35.5,829,100
2024-10-07 13:13:18.545227,Trump,60.9,1423,Harris,35.5,829,100
2024-10-07 13:13:22.746968,Trump,60.9,1423,Harris,35.5,829,100
2024-10-07 13:13:27.206663,Trump,60.9,1423,Harris,35.5,829,100
2024-10-07 13:13:31.636146,Trump,60.9,1423,Harris,35.5,829,100
2024-10-07 13:13:36.430526,Trump,60.9,1423,Harris,35.5,829,100
2024-10-07 13:13:40.950699,Trump,60.9,1423,Harris,35.5,829,100
2024-10-07 13:13:46.058573,Trump,60.9,1423,Harris,35.5,829,100
2024-10-07 13:13:51.355260,Trump,60.9,1423,Harris,35.5,829,100
