,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:13:08.365469,Harris,50.8,128128,Trump,46.3,116760,100
2024-10-07 13:13:13.560314,Harris,50.8,128128,Trump,46.3,116760,100
2024-10-07 13:13:18.560875,Harris,50.8,128128,Trump,46.3,116760,100
2024-10-07 13:13:22.786256,Harris,50.8,128128,Trump,46.3,116760,100
2024-10-07 13:13:27.229093,Harris,50.8,128128,Trump,46.3,116760,100
2024-10-07 13:13:31.647183,Harris,50.8,128128,Trump,46.3,116760,100
2024-10-07 13:13:36.447217,Harris,50.8,128128,Trump,46.3,116760,100
2024-10-07 13:13:40.967942,Harris,50.8,128128,Trump,46.3,116760,100
2024-10-07 13:13:46.075575,Harris,50.8,128128,Trump,46.3,116760,100
2024-10-07 13:13:51.365250,Harris,50.8,128128,Trump,46.3,116760,100
