,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported
2024-11-05 14:33:04.764462,0,0,0.000,0,0.000,0.000
2024-11-05 14:33:30.524768,0,0,0.000,0,0.000,0.000
2024-11-05 14:33:52.643484,0,0,0.000,0,0.000,0.000
2024-11-05 14:34:14.931108,0,0,0.000,0,0.000,0.000
2024-11-05 14:34:42.135216,0,0,0.000,0,0.000,0.000
2024-11-05 14:35:03.803815,0,0,0.000,0,0.000,0.000
2024-11-05 14:35:24.148738,0,0,0.000,0,0.000,0.000
2024-11-05 14:35:52.936181,0,0,0.000,0,0.000,0.000
2024-11-05 14:36:17.625719,0,0,0.000,0,0.000,0.000
2024-11-05 14:36:45.711131,0,0,0.000,0,0.000,0.000
2024-11-05 14:37:03.622508,0,0,0.000,0,0.000,0.000
2024-11-05 14:37:24.722972,0,0,0.000,0,0.000,0.000
2024-11-05 14:37:41.609009,0,0,0.000,0,0.000,0.000
2024-11-05 14:38:03.281835,0,0,0.000,0,0.000,0.000
