,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported
2024-11-05 14:33:30.524768,0,0,0.000,0,0.000,0.000
2024-11-05 14:33:52.643484,0,0,0.000,0,0.000,0.000
2024-11-05 14:34:14.931108,0,0,0.000,0,0.000,0.000
2024-11-05 14:34:42.135216,0,0,0.000,0,0.000,0.000
2024-11-05 14:35:03.803815,0,0,0.000,0,0.000,0.000
2024-11-05 14:35:24.148738,0,0,0.000,0,0.000,0.000
2024-11-05 14:35:52.936181,0,0,0.000,0,0.000,0.000
2024-11-05 14:36:17.625719,0,0,0.000,0,0.000,0.000
2024-11-05 14:36:45.711131,0,0,0.000,0,0.000,0.000
2024-11-05 14:37:03.622508,0,0,0.000,0,0.000,0.000
2024-11-05 14:37:24.722972,0,0,0.000,0,0.000,0.000
2024-11-05 14:37:41.609009,0,0,0.000,0,0.000,0.000
2024-11-05 14:38:03.281835,0,0,0.000,0,0.000,0.000
2024-11-05 14:38:23.901276,0,0,0.000,0,0.000,0.000
2024-11-05 14:38:52.666598,0,0,0.000,0,0.000,0.000
2024-11-05 14:39:09.420095,0,0,0.000,0,0.000,0.000
2024-11-05 14:39:26.052905,0,0,0.000,0,0.000,0.000
2024-11-05 14:39:49.674714,0,0,0.000,0,0.000,0.000
2024-11-05 14:40:18.272334,0,0,0.000,0,0.000,0.000
2024-11-05 14:40:35.044157,0,0,0.000,0,0.000,0.000
2024-11-05 14:41:02.206821,0,0,0.000,0,0.000,0.000
2024-11-05 14:41:20.444484,0,0,0.000,0,0.000,0.000
2024-11-05 14:41:39.564416,0,0,0.000,0,0.000,0.000
2024-11-05 14:42:07.112107,0,0,0.000,0,0.000,0.000
2024-11-05 14:42:31.182144,0,0,0.000,0,0.000,0.000
2024-11-05 14:42:47.897969,0,0,0.000,0,0.000,0.000
2024-11-05 14:43:07.827074,0,0,0.000,0,0.000,0.000
2024-11-05 14:43:28.606441,0,0,0.000,0,0.000,0.000
2024-11-05 14:43:55.535666,0,0,0.000,0,0.000,0.000
2024-11-05 14:44:11.748232,0,0,0.000,0,0.000,0.000
2024-11-05 14:44:39.752551,0,0,0.000,0,0.000,0.000
