,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported
2024-11-05 20:20:57.172482,80487,39,48.700,39,48.700,37.600
2024-11-05 20:21:32.921352,80487,39,48.700,39,48.700,37.600
2024-11-05 20:22:00.374161,80487,39,48.700,39,48.700,37.600
2024-11-05 20:22:41.254573,80487,39,48.700,39,48.700,37.600
2024-11-05 20:23:13.934303,80487,39,48.700,39,48.700,37.600
2024-11-05 20:23:52.254019,80487,39,48.700,39,48.700,37.600
2024-11-05 20:24:27.092825,80487,39,48.700,39,48.700,37.600
2024-11-05 20:24:59.524874,80487,39,48.700,39,48.700,37.600
2024-11-05 20:25:28.549943,80487,39,48.700,39,48.700,37.600
2024-11-05 20:25:54.493436,80487,39,48.700,39,48.700,37.600
2024-11-05 20:26:21.839290,80487,39,48.700,39,48.700,37.600
2024-11-05 20:26:50.264597,80487,39,48.700,39,48.700,37.600
2024-11-05 20:27:16.242246,80487,39,48.700,39,48.700,37.600
2024-11-05 20:27:51.201412,80487,39,48.700,39,48.700,37.600
2024-11-05 20:28:30.249070,80487,39,48.700,39,48.700,37.600
2024-11-05 20:29:06.933767,80487,39,48.700,39,48.700,37.600
2024-11-05 20:29:45.080153,80487,39,48.700,39,48.700,37.600
2024-11-05 20:30:18.230841,80487,39,48.700,39,48.700,37.600
2024-11-05 20:30:45.301145,80487,39,48.700,39,48.700,37.600
2024-11-05 20:31:21.562393,80487,39,48.700,39,48.700,37.600
2024-11-05 20:31:51.892329,80487,39,48.700,39,48.700,37.600
2024-11-05 20:32:26.612779,80487,39,48.700,39,48.700,37.600
2024-11-05 20:33:02.981591,80487,39,48.700,39,48.700,37.600
2024-11-05 20:33:32.963577,80487,39,48.700,39,48.700,37.600
2024-11-05 20:34:00.139832,80487,39,48.700,39,48.700,37.600
2024-11-05 20:34:30.047424,80487,39,48.700,39,48.700,37.600
2024-11-05 20:35:02.328308,80487,39,48.700,39,48.700,37.600
2024-11-05 20:58:46.448677,80983,39,49.100,39,48.900,37.900
