,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.824295,Trump,62.3,7362,Harris,36.6,4329,100
2024-10-07 13:19:02.606898,Trump,62.3,7362,Harris,36.6,4329,100
2024-10-07 13:19:11.197519,Trump,62.3,7362,Harris,36.6,4329,100
2024-10-07 13:19:19.789893,Trump,62.3,7362,Harris,36.6,4329,100
2024-10-07 13:19:28.392599,Trump,62.3,7362,Harris,36.6,4329,100
2024-10-07 13:19:36.734508,Trump,62.3,7362,Harris,36.6,4329,100
2024-10-07 13:19:46.490294,Trump,62.3,7362,Harris,36.6,4329,100
2024-10-07 13:19:55.987875,Trump,62.3,7362,Harris,36.6,4329,100
2024-10-07 13:20:05.130084,Trump,62.3,7362,Harris,36.6,4329,100
2024-10-07 13:20:15.039012,Trump,62.3,7362,Harris,36.6,4329,100
2024-10-07 13:20:24.071827,Trump,62.3,7362,Harris,36.6,4329,100
