,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.841643,Harris,56.5,6147,Trump,42.4,4617,100
2024-10-07 13:19:02.624840,Harris,56.5,6147,Trump,42.4,4617,100
2024-10-07 13:19:11.206804,Harris,56.5,6147,Trump,42.4,4617,100
2024-10-07 13:19:19.806557,Harris,56.5,6147,Trump,42.4,4617,100
2024-10-07 13:19:28.402599,Harris,56.5,6147,Trump,42.4,4617,100
2024-10-07 13:19:36.743212,Harris,56.5,6147,Trump,42.4,4617,100
2024-10-07 13:19:46.507669,Harris,56.5,6147,Trump,42.4,4617,100
2024-10-07 13:19:55.990580,Harris,56.5,6147,Trump,42.4,4617,100
2024-10-07 13:20:05.144087,Harris,56.5,6147,Trump,42.4,4617,100
2024-10-07 13:20:15.067655,Harris,56.5,6147,Trump,42.4,4617,100
2024-10-07 13:20:24.073132,Harris,56.5,6147,Trump,42.4,4617,100
