,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.859238,Trump,67.1,10002,Harris,30.4,4524,100
2024-10-07 13:19:02.660309,Trump,67.1,10002,Harris,30.4,4524,100
2024-10-07 13:19:11.230460,Trump,67.1,10002,Harris,30.4,4524,100
2024-10-07 13:19:19.834681,Trump,67.1,10002,Harris,30.4,4524,100
2024-10-07 13:19:28.407268,Trump,67.1,10002,Harris,30.4,4524,100
2024-10-07 13:19:36.776409,Trump,67.1,10002,Harris,30.4,4524,100
2024-10-07 13:19:46.523894,Trump,67.1,10002,Harris,30.4,4524,100
2024-10-07 13:19:56.023237,Trump,67.1,10002,Harris,30.4,4524,100
2024-10-07 13:20:05.168658,Trump,67.1,10002,Harris,30.4,4524,100
2024-10-07 13:20:15.098970,Trump,67.1,10002,Harris,30.4,4524,100
2024-10-07 13:20:24.090245,Trump,67.1,10002,Harris,30.4,4524,100
