,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.903956,Trump,72.6,2133,Harris,26.6,781,100
2024-10-07 13:19:02.701751,Trump,72.6,2133,Harris,26.6,781,100
2024-10-07 13:19:11.275193,Trump,72.6,2133,Harris,26.6,781,100
2024-10-07 13:19:19.874748,Trump,72.6,2133,Harris,26.6,781,100
2024-10-07 13:19:28.442054,Trump,72.6,2133,Harris,26.6,781,100
2024-10-07 13:19:36.828498,Trump,72.6,2133,Harris,26.6,781,100
2024-10-07 13:19:46.582361,Trump,72.6,2133,Harris,26.6,781,100
2024-10-07 13:19:56.062745,Trump,72.6,2133,Harris,26.6,781,100
2024-10-07 13:20:05.208813,Trump,72.6,2133,Harris,26.6,781,100
2024-10-07 13:20:15.123689,Trump,72.6,2133,Harris,26.6,781,100
2024-10-07 13:20:24.145495,Trump,72.6,2133,Harris,26.6,781,100
