,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.912957,Trump,55.2,14142,Harris,42.9,10998,100
2024-10-07 13:19:02.714346,Trump,55.2,14142,Harris,42.9,10998,100
2024-10-07 13:19:11.286193,Trump,55.2,14142,Harris,42.9,10998,100
2024-10-07 13:19:19.888747,Trump,55.2,14142,Harris,42.9,10998,100
2024-10-07 13:19:28.466942,Trump,55.2,14142,Harris,42.9,10998,100
2024-10-07 13:19:36.841156,Trump,55.2,14142,Harris,42.9,10998,100
2024-10-07 13:19:46.593361,Trump,55.2,14142,Harris,42.9,10998,100
2024-10-07 13:19:56.073747,Trump,55.2,14142,Harris,42.9,10998,100
2024-10-07 13:20:05.219812,Trump,55.2,14142,Harris,42.9,10998,100
2024-10-07 13:20:15.141643,Trump,55.2,14142,Harris,42.9,10998,100
2024-10-07 13:20:24.158495,Trump,55.2,14142,Harris,42.9,10998,100
