,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.914958,Harris,50.7,10851,Trump,47.5,10169,100
2024-10-07 13:19:02.718346,Harris,50.7,10851,Trump,47.5,10169,100
2024-10-07 13:19:11.291021,Harris,50.7,10851,Trump,47.5,10169,100
2024-10-07 13:19:19.891747,Harris,50.7,10851,Trump,47.5,10169,100
2024-10-07 13:19:28.469942,Harris,50.7,10851,Trump,47.5,10169,100
2024-10-07 13:19:36.843168,Harris,50.7,10851,Trump,47.5,10169,100
2024-10-07 13:19:46.596361,Harris,50.7,10851,Trump,47.5,10169,100
2024-10-07 13:19:56.073747,Harris,50.7,10851,Trump,47.5,10169,100
2024-10-07 13:20:05.225108,Harris,50.7,10851,Trump,47.5,10169,100
2024-10-07 13:20:15.146642,Harris,50.7,10851,Trump,47.5,10169,100
2024-10-07 13:20:24.162495,Harris,50.7,10851,Trump,47.5,10169,100
