,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.924568,Harris,55.9,7828,Trump,42.2,5909,100
2024-10-07 13:19:02.726852,Harris,55.9,7828,Trump,42.2,5909,100
2024-10-07 13:19:11.291021,Harris,55.9,7828,Trump,42.2,5909,100
2024-10-07 13:19:19.900748,Harris,55.9,7828,Trump,42.2,5909,100
2024-10-07 13:19:28.479943,Harris,55.9,7828,Trump,42.2,5909,100
2024-10-07 13:19:36.856836,Harris,55.9,7828,Trump,42.2,5909,100
2024-10-07 13:19:46.602361,Harris,55.9,7828,Trump,42.2,5909,100
2024-10-07 13:19:56.073747,Harris,55.9,7828,Trump,42.2,5909,100
2024-10-07 13:20:05.232107,Harris,55.9,7828,Trump,42.2,5909,100
2024-10-07 13:20:15.152643,Harris,55.9,7828,Trump,42.2,5909,100
2024-10-07 13:20:24.168495,Harris,55.9,7828,Trump,42.2,5909,100
