,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.924568,Trump,56.8,5791,Harris,41.8,4256,100
2024-10-07 13:19:02.731851,Trump,56.8,5791,Harris,41.8,4256,100
2024-10-07 13:19:11.307807,Trump,56.8,5791,Harris,41.8,4256,100
2024-10-07 13:19:19.906750,Trump,56.8,5791,Harris,41.8,4256,100
2024-10-07 13:19:28.485943,Trump,56.8,5791,Harris,41.8,4256,100
2024-10-07 13:19:36.868835,Trump,56.8,5791,Harris,41.8,4256,100
2024-10-07 13:19:46.607211,Trump,56.8,5791,Harris,41.8,4256,100
2024-10-07 13:19:56.093904,Trump,56.8,5791,Harris,41.8,4256,100
2024-10-07 13:20:05.240386,Trump,56.8,5791,Harris,41.8,4256,100
2024-10-07 13:20:15.156885,Trump,56.8,5791,Harris,41.8,4256,100
2024-10-07 13:20:24.173430,Trump,56.8,5791,Harris,41.8,4256,100
