,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.924568,Trump,63.8,8749,Harris,34.6,4746,100
2024-10-07 13:19:02.737852,Trump,63.8,8749,Harris,34.6,4746,100
2024-10-07 13:19:11.307807,Trump,63.8,8749,Harris,34.6,4746,100
2024-10-07 13:19:19.907322,Trump,63.8,8749,Harris,34.6,4746,100
2024-10-07 13:19:28.495945,Trump,63.8,8749,Harris,34.6,4746,100
2024-10-07 13:19:36.874272,Trump,63.8,8749,Harris,34.6,4746,100
2024-10-07 13:19:46.607211,Trump,63.8,8749,Harris,34.6,4746,100
2024-10-07 13:19:56.099902,Trump,63.8,8749,Harris,34.6,4746,100
2024-10-07 13:20:05.240386,Trump,63.8,8749,Harris,34.6,4746,100
2024-10-07 13:20:15.167893,Trump,63.8,8749,Harris,34.6,4746,100
2024-10-07 13:20:24.173430,Trump,63.8,8749,Harris,34.6,4746,100
