,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.941908,Trump,50.7,44972,Harris,47.5,42193,100
2024-10-07 13:19:02.741625,Trump,50.7,44972,Harris,47.5,42193,100
2024-10-07 13:19:11.307807,Trump,50.7,44972,Harris,47.5,42193,100
2024-10-07 13:19:19.907322,Trump,50.7,44972,Harris,47.5,42193,100
2024-10-07 13:19:28.498944,Trump,50.7,44972,Harris,47.5,42193,100
2024-10-07 13:19:36.874272,Trump,50.7,44972,Harris,47.5,42193,100
2024-10-07 13:19:46.623029,Trump,50.7,44972,Harris,47.5,42193,100
2024-10-07 13:19:56.102903,Trump,50.7,44972,Harris,47.5,42193,100
2024-10-07 13:20:05.240386,Trump,50.7,44972,Harris,47.5,42193,100
2024-10-07 13:20:15.167893,Trump,50.7,44972,Harris,47.5,42193,100
2024-10-07 13:20:24.173430,Trump,50.7,44972,Harris,47.5,42193,100
