,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.941908,Trump,65.5,7927,Harris,32.9,3976,100
2024-10-07 13:19:02.741625,Trump,65.5,7927,Harris,32.9,3976,100
2024-10-07 13:19:11.307807,Trump,65.5,7927,Harris,32.9,3976,100
2024-10-07 13:19:19.907322,Trump,65.5,7927,Harris,32.9,3976,100
2024-10-07 13:19:28.502946,Trump,65.5,7927,Harris,32.9,3976,100
2024-10-07 13:19:36.889043,Trump,65.5,7927,Harris,32.9,3976,100
2024-10-07 13:19:46.623029,Trump,65.5,7927,Harris,32.9,3976,100
2024-10-07 13:19:56.107035,Trump,65.5,7927,Harris,32.9,3976,100
2024-10-07 13:20:05.257446,Trump,65.5,7927,Harris,32.9,3976,100
2024-10-07 13:20:15.174953,Trump,65.5,7927,Harris,32.9,3976,100
2024-10-07 13:20:24.190276,Trump,65.5,7927,Harris,32.9,3976,100
