,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.965029,Trump,60.7,27218,Harris,37.5,16818,100
2024-10-07 13:19:02.758960,Trump,60.7,27218,Harris,37.5,16818,100
2024-10-07 13:19:11.344519,Trump,60.7,27218,Harris,37.5,16818,100
2024-10-07 13:19:19.936226,Trump,60.7,27218,Harris,37.5,16818,100
2024-10-07 13:19:28.518950,Trump,60.7,27218,Harris,37.5,16818,100
2024-10-07 13:19:36.907293,Trump,60.7,27218,Harris,37.5,16818,100
2024-10-07 13:19:46.640539,Trump,60.7,27218,Harris,37.5,16818,100
2024-10-07 13:19:56.128195,Trump,60.7,27218,Harris,37.5,16818,100
2024-10-07 13:20:05.279957,Trump,60.7,27218,Harris,37.5,16818,100
2024-10-07 13:20:15.190681,Trump,60.7,27218,Harris,37.5,16818,100
2024-10-07 13:20:24.212155,Trump,60.7,27218,Harris,37.5,16818,100
