,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.974437,Trump,60.9,13775,Harris,37.3,8433,100
2024-10-07 13:19:02.784983,Trump,60.9,13775,Harris,37.3,8433,100
2024-10-07 13:19:11.362107,Trump,60.9,13775,Harris,37.3,8433,100
2024-10-07 13:19:19.956062,Trump,60.9,13775,Harris,37.3,8433,100
2024-10-07 13:19:28.539800,Trump,60.9,13775,Harris,37.3,8433,100
2024-10-07 13:19:36.943017,Trump,60.9,13775,Harris,37.3,8433,100
2024-10-07 13:19:46.666353,Trump,60.9,13775,Harris,37.3,8433,100
2024-10-07 13:19:56.140411,Trump,60.9,13775,Harris,37.3,8433,100
2024-10-07 13:20:05.300956,Trump,60.9,13775,Harris,37.3,8433,100
2024-10-07 13:20:15.206716,Trump,60.9,13775,Harris,37.3,8433,100
2024-10-07 13:20:24.223350,Trump,60.9,13775,Harris,37.3,8433,100
