,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.006533,Trump,62.4,2584,Harris,35.9,1489,100
2024-10-07 13:19:02.791297,Trump,62.4,2584,Harris,35.9,1489,100
2024-10-07 13:19:11.388852,Trump,62.4,2584,Harris,35.9,1489,100
2024-10-07 13:19:19.974218,Trump,62.4,2584,Harris,35.9,1489,100
2024-10-07 13:19:28.557811,Trump,62.4,2584,Harris,35.9,1489,100
2024-10-07 13:19:36.974778,Trump,62.4,2584,Harris,35.9,1489,100
2024-10-07 13:19:46.673545,Trump,62.4,2584,Harris,35.9,1489,100
2024-10-07 13:19:56.157220,Trump,62.4,2584,Harris,35.9,1489,100
2024-10-07 13:20:05.322121,Trump,62.4,2584,Harris,35.9,1489,100
2024-10-07 13:20:15.230949,Trump,62.4,2584,Harris,35.9,1489,100
2024-10-07 13:20:24.240902,Trump,62.4,2584,Harris,35.9,1489,100
