,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.008341,Trump,55.0,12815,Harris,42.0,9796,99
2024-10-07 13:19:02.791297,Trump,55.0,12815,Harris,42.0,9796,99
2024-10-07 13:19:11.394853,Trump,55.0,12815,Harris,42.0,9796,99
2024-10-07 13:19:19.974218,Trump,55.0,12815,Harris,42.0,9796,99
2024-10-07 13:19:28.557811,Trump,55.0,12815,Harris,42.0,9796,99
2024-10-07 13:19:36.974778,Trump,55.0,12815,Harris,42.0,9796,99
2024-10-07 13:19:46.673545,Trump,55.0,12815,Harris,42.0,9796,99
2024-10-07 13:19:56.174004,Trump,55.0,12815,Harris,42.0,9796,99
2024-10-07 13:20:05.323619,Trump,55.0,12815,Harris,42.0,9796,99
2024-10-07 13:20:15.233949,Trump,55.0,12815,Harris,42.0,9796,99
2024-10-07 13:20:24.240902,Trump,55.0,12815,Harris,42.0,9796,99
