,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.023356,Trump,51.2,54479,Harris,47.1,50159,100
2024-10-07 13:19:02.807859,Trump,51.2,54479,Harris,47.1,50159,100
2024-10-07 13:19:11.407624,Trump,51.2,54479,Harris,47.1,50159,100
2024-10-07 13:19:19.990959,Trump,51.2,54479,Harris,47.1,50159,100
2024-10-07 13:19:28.576612,Trump,51.2,54479,Harris,47.1,50159,100
2024-10-07 13:19:37.007974,Trump,51.2,54479,Harris,47.1,50159,100
2024-10-07 13:19:46.700207,Trump,51.2,54479,Harris,47.1,50159,100
2024-10-07 13:19:56.174004,Trump,51.2,54479,Harris,47.1,50159,100
2024-10-07 13:20:05.344514,Trump,51.2,54479,Harris,47.1,50159,100
2024-10-07 13:20:15.240159,Trump,51.2,54479,Harris,47.1,50159,100
2024-10-07 13:20:24.271352,Trump,51.2,54479,Harris,47.1,50159,100
