,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.029755,Trump,54.0,4871,Harris,44.3,3995,100
2024-10-07 13:19:02.807859,Trump,54.0,4871,Harris,44.3,3995,100
2024-10-07 13:19:11.407624,Trump,54.0,4871,Harris,44.3,3995,100
2024-10-07 13:19:19.990959,Trump,54.0,4871,Harris,44.3,3995,100
2024-10-07 13:19:28.579609,Trump,54.0,4871,Harris,44.3,3995,100
2024-10-07 13:19:37.007974,Trump,54.0,4871,Harris,44.3,3995,100
2024-10-07 13:19:46.703207,Trump,54.0,4871,Harris,44.3,3995,100
2024-10-07 13:19:56.191880,Trump,54.0,4871,Harris,44.3,3995,100
2024-10-07 13:20:05.347512,Trump,54.0,4871,Harris,44.3,3995,100
2024-10-07 13:20:15.240159,Trump,54.0,4871,Harris,44.3,3995,100
2024-10-07 13:20:24.276474,Trump,54.0,4871,Harris,44.3,3995,100
