,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.032755,Harris,54.7,46658,Trump,43.5,37138,100
2024-10-07 13:19:02.826012,Harris,54.7,46658,Trump,43.5,37138,100
2024-10-07 13:19:11.407624,Harris,54.7,46658,Trump,43.5,37138,100
2024-10-07 13:19:19.990959,Harris,54.7,46658,Trump,43.5,37138,100
2024-10-07 13:19:28.582609,Harris,54.7,46658,Trump,43.5,37138,100
2024-10-07 13:19:37.027500,Harris,54.7,46658,Trump,43.5,37138,100
2024-10-07 13:19:46.707600,Harris,54.7,46658,Trump,43.5,37138,100
2024-10-07 13:19:56.195880,Harris,54.7,46658,Trump,43.5,37138,100
2024-10-07 13:20:05.350513,Harris,54.7,46658,Trump,43.5,37138,100
2024-10-07 13:20:15.255271,Harris,54.7,46658,Trump,43.5,37138,100
2024-10-07 13:20:24.279472,Harris,54.7,46658,Trump,43.5,37138,100
