,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.036755,Trump,66.7,5257,Harris,31.9,2517,100
2024-10-07 13:19:02.830011,Trump,66.7,5257,Harris,31.9,2517,100
2024-10-07 13:19:11.407624,Trump,66.7,5257,Harris,31.9,2517,100
2024-10-07 13:19:19.990959,Trump,66.7,5257,Harris,31.9,2517,100
2024-10-07 13:19:28.584610,Trump,66.7,5257,Harris,31.9,2517,100
2024-10-07 13:19:37.032500,Trump,66.7,5257,Harris,31.9,2517,100
2024-10-07 13:19:46.707600,Trump,66.7,5257,Harris,31.9,2517,100
2024-10-07 13:19:56.198880,Trump,66.7,5257,Harris,31.9,2517,100
2024-10-07 13:20:05.354513,Trump,66.7,5257,Harris,31.9,2517,100
2024-10-07 13:20:15.260273,Trump,66.7,5257,Harris,31.9,2517,100
2024-10-07 13:20:24.283472,Trump,66.7,5257,Harris,31.9,2517,100
