,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.041187,Trump,57.0,37609,Harris,41.1,27101,100
2024-10-07 13:19:02.841182,Trump,57.0,37609,Harris,41.1,27101,100
2024-10-07 13:19:11.428535,Trump,57.0,37609,Harris,41.1,27101,100
2024-10-07 13:19:20.008056,Trump,57.0,37609,Harris,41.1,27101,100
2024-10-07 13:19:28.590921,Trump,57.0,37609,Harris,41.1,27101,100
2024-10-07 13:19:37.057874,Trump,57.0,37609,Harris,41.1,27101,100
2024-10-07 13:19:46.723178,Trump,57.0,37609,Harris,41.1,27101,100
2024-10-07 13:19:56.213881,Trump,57.0,37609,Harris,41.1,27101,100
2024-10-07 13:20:05.372797,Trump,57.0,37609,Harris,41.1,27101,100
2024-10-07 13:20:15.273848,Trump,57.0,37609,Harris,41.1,27101,100
2024-10-07 13:20:24.298473,Trump,57.0,37609,Harris,41.1,27101,100
