,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.060452,Trump,71.6,7657,Harris,25.2,2693,100
2024-10-07 13:19:02.841182,Trump,71.6,7657,Harris,25.2,2693,100
2024-10-07 13:19:11.446512,Trump,71.6,7657,Harris,25.2,2693,100
2024-10-07 13:19:20.026724,Trump,71.6,7657,Harris,25.2,2693,100
2024-10-07 13:19:28.607800,Trump,71.6,7657,Harris,25.2,2693,100
2024-10-07 13:19:37.066873,Trump,71.6,7657,Harris,25.2,2693,100
2024-10-07 13:19:46.723178,Trump,71.6,7657,Harris,25.2,2693,100
2024-10-07 13:19:56.219882,Trump,71.6,7657,Harris,25.2,2693,100
2024-10-07 13:20:05.373729,Trump,71.6,7657,Harris,25.2,2693,100
2024-10-07 13:20:15.273848,Trump,71.6,7657,Harris,25.2,2693,100
2024-10-07 13:20:24.305476,Trump,71.6,7657,Harris,25.2,2693,100
