,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.074552,Trump,68.4,60237,Harris,30.3,26650,100
2024-10-07 13:19:02.869282,Trump,68.4,60237,Harris,30.3,26650,100
2024-10-07 13:19:11.458673,Trump,68.4,60237,Harris,30.3,26650,100
2024-10-07 13:19:20.040863,Trump,68.4,60237,Harris,30.3,26650,100
2024-10-07 13:19:28.624093,Trump,68.4,60237,Harris,30.3,26650,100
2024-10-07 13:19:37.106033,Trump,68.4,60237,Harris,30.3,26650,100
2024-10-07 13:19:46.749022,Trump,68.4,60237,Harris,30.3,26650,100
2024-10-07 13:19:56.240911,Trump,68.4,60237,Harris,30.3,26650,100
2024-10-07 13:20:05.407064,Trump,68.4,60237,Harris,30.3,26650,100
2024-10-07 13:20:15.306888,Trump,68.4,60237,Harris,30.3,26650,100
2024-10-07 13:20:24.322984,Trump,68.4,60237,Harris,30.3,26650,100
