,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.091493,Trump,66.5,9016,Harris,32.3,4388,100
2024-10-07 13:19:02.876736,Trump,66.5,9016,Harris,32.3,4388,100
2024-10-07 13:19:11.475846,Trump,66.5,9016,Harris,32.3,4388,100
2024-10-07 13:19:20.057729,Trump,66.5,9016,Harris,32.3,4388,100
2024-10-07 13:19:28.645791,Trump,66.5,9016,Harris,32.3,4388,100
2024-10-07 13:19:37.125146,Trump,66.5,9016,Harris,32.3,4388,100
2024-10-07 13:19:46.756698,Trump,66.5,9016,Harris,32.3,4388,100
2024-10-07 13:19:56.240911,Trump,66.5,9016,Harris,32.3,4388,100
2024-10-07 13:20:05.407064,Trump,66.5,9016,Harris,32.3,4388,100
2024-10-07 13:20:15.306888,Trump,66.5,9016,Harris,32.3,4388,100
2024-10-07 13:20:24.322984,Trump,66.5,9016,Harris,32.3,4388,100
