,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.091493,Trump,50.8,47796,Harris,46.9,44060,100
2024-10-07 13:19:02.876736,Trump,50.8,47796,Harris,46.9,44060,100
2024-10-07 13:19:11.479845,Trump,50.8,47796,Harris,46.9,44060,100
2024-10-07 13:19:20.057729,Trump,50.8,47796,Harris,46.9,44060,100
2024-10-07 13:19:28.649789,Trump,50.8,47796,Harris,46.9,44060,100
2024-10-07 13:19:37.125146,Trump,50.8,47796,Harris,46.9,44060,100
2024-10-07 13:19:46.756698,Trump,50.8,47796,Harris,46.9,44060,100
2024-10-07 13:19:56.257066,Trump,50.8,47796,Harris,46.9,44060,100
2024-10-07 13:20:05.428108,Trump,50.8,47796,Harris,46.9,44060,100
2024-10-07 13:20:15.323958,Trump,50.8,47796,Harris,46.9,44060,100
2024-10-07 13:20:24.322984,Trump,50.8,47796,Harris,46.9,44060,100
